stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,79.07,988.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,79.69,1189.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,12.26,0,0,6.13,24.52,0,0,0,0,0,0
  7-9,10.51,28.92,10.51,0,0,55.2,0,0,0,0,26.29,0,0,0,0,0,0,0,0,525.74,31.54,0,0,157.72,2.63,0,0,0,0,0,0
 10-12,0,28.32,22.03,0,0,28.32,0,0,0,0,6.29,0,0,0,0,0,0,0,0,390.22,15.73,0,0,151.05,0,3.15,22.03,0,3.15,0,0
 14-21,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,0,0,0,2,7,1,0
 24-34,0,0,0,0.82,0,8.21,0,0,2.46,0,0,0,0.82,0.82,0,8.21,0,0,1.64,67.31,0.82,0.82,2.46,0,0,0,1.64,0.82,17.24,0,0
 36-46,0,0,0,2.42,0,3.22,0,0,1.61,0,0,0,0,0,0,6.45,0,0,0.81,21.75,0,0,0,0,0,0,0,0,2.42,0,0
 48-58,0,0,0,0.57,0,12.05,0,0,2.3,0,0,0.57,0,0,0,2.87,0,0,1.72,16.64,0,0.57,0.57,0,1.15,0,0,0,5.16,0,0
 60-70,0,0,0,1.96,0,17.67,0.98,0,0,1.96,0,0.98,0,0,0,2.94,0.98,0.98,0.98,25.52,0,0,0.98,0,0.98,0,0.98,0,2.94,0.98,0
 72-82,0,0,0,0.98,0,2.94,0,0,3.93,0,0,0,0,0,0.98,5.89,0,0,0,15.71,0,0,0,0,0,0,0,0,1.96,0,0
 84-94,0,0,0,1.06,0,4.25,0,0,1.06,1.06,0,0,0,0,0,2.12,0,0,3.19,4.25,0,0,0,0,1.06,0,0,0,2.12,0,0
 96-106,0,0,0,0,0,2.19,0,1.09,0,0,0,0,0,0,0,1.09,0,0,0,2.19,0,0,0,0,1.09,0,0,0,1.09,0,0
108-118,0,0,0,0,0,0.77,0,0,1.53,0,0,0,0,0,0,3.06,0,0,0,2.3,0,0,0,0,0.77,0,0,0,0,0,0
120,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,1.96
