stage,blastomeres,epidermis,eye,glial,heart,immune,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,2,0,0,0
 24-34,0,0.82,0.82,0,0.82,0,0,0,1.64,0,0,0,5.75,0,0,0.82,0,0.82,0.82,2.46,1.64
 36-46,0,0,1.61,1.61,0,0,0,0,0.81,0,0.81,0.81,12.09,0,0,0,0,0,0,2.42,0
 48-58,0,0,4.02,2.3,0,0,0.57,0.57,2.3,0.57,0.57,0,10.9,0,0,0.57,0,0,0,3.44,0
 60-70,0,0,2.94,0,0.98,0,0,0,0.98,0,0,0,3.93,0.98,0,0,0,0,0,1.96,0
 72-82,0,0.98,2.94,0.98,0,0,0,0.98,3.93,0,0,0.98,4.91,0,0,0,0,0.98,0,0,0.98
 84-94,0,2.12,4.25,0,0,0,0,0,1.06,0,0,1.06,3.19,0,1.06,0,0,1.06,0,0,0
 96-106,0,1.09,3.28,2.19,0,1.09,0,0,1.09,0,0,0,7.65,0,1.09,0,0,1.09,0,0,0
108-118,0,1.53,1.53,0.77,0,0,0,0,1.53,0,0,0,3.06,0,0,0,0,2.3,0,0,0.77
120,0,1.96,1.96,1.96,0,1.96,0,0,5.88,0,0,0,1.96,0,0,1.96,0,0,0,0,0
