stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,10.51,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,76.23,2.63,0,0,21.03,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.53,0,0,0,34.62,0,0,6.29,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,1,0,0,0
 24-34,0,0,0,5.75,6.57,0,0,0,1.64,0,0,0.82,0,0,0,9.85,0,1.64,47.61,0,0,1.64,0,1.64,0,0,5.75,1.64,0,0.82
 36-46,0,0,0,1.61,3.22,0.81,0,0,0.81,0,0,0,0,0,0,4.83,0,0.81,32.23,0.81,0,0.81,0,0.81,0,0,7.25,0.81,0,0
 48-58,0,0,0,1.15,4.02,0,0,0.57,2.87,0.57,0,0,0,0,0.57,4.02,0,0,14.92,0,0,0,0,0.57,0,0,4.59,0.57,0,0
 60-70,0,0,0,0.98,12.76,0,1.96,0,4.91,0,0,0.98,0,0.98,0,6.87,0.98,0.98,27.48,0,0,0,0,0,0,0.98,1.96,0,0,0
 72-82,0,0,0,0,0.98,0,0.98,0,3.93,0,0,0,0,0,0,7.85,0.98,0.98,6.87,0,0,0,0,0,0,0,2.94,0,0.98,0
 84-94,0,0,0,0,2.12,0,0,0,0,2.12,0,0,0,0,0,4.25,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,3.28,1.09,0,5.46,0,2.19,0,0,0,0,0,1.09,0,0,0
108-118,0,0,0,0,0.77,0,0,0,3.06,0,0,0,0,0,0,5.36,0,0.77,3.06,0,0,0,0,0,0,0,0.77,0.77,0,0
120,0,0,0,1.96,3.92,0,0,0,1.96,0,0,0,1.96,0,0,9.8,0,7.84,9.8,0,0,0,0,0,0,0,0,0,0,0
