stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites
  3-4,26.36,92.25,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,6.13,165.5,0,0,0,0,0,0,0,0,6.13,0,6.13,6.13,0,0,0
  7-9,2.63,5.26,5.26,0,0,5.26,0,2.63,0,0,97.26,0,13.14,0,0,0,0
 10-12,0,0,3.15,0,3.15,6.29,0,0,0,0,31.47,0,18.88,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,1
 24-34,0,0,0,0,0,0,0,0,0,0,4.1,0.82,0,0.82,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,0.57,0,0,0,0.57,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0.98,0.98,0,0.98,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0
