stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,24,2,0,0,0,1,0,1,1,1,1,0,1,0,0,0,4,0,0,2,30,5,0,3,1,0,29,0,5,0,0,12,0,0,2,0,0
 24-34,0,2.46,0.82,9.03,0.82,0,7.39,0,2.46,0.82,4.1,0.82,0,0,0,4.93,0,1.64,0,5.75,0.82,0,4.1,55.82,1.64,2.46,2.46,0,0,51.71,0,0,2.46,0,13.13,0,0,0.82,0,0
 36-46,0,0,0,1.61,0,0,12.89,0,0,2.42,4.83,0,0,0,0,0,0,0.81,0,2.42,0,0.81,0.81,83.79,1.61,13.7,0,0,0,53.17,0,0,0,0,22.56,0,0,0,0,0.81
 48-58,0,0.57,0,1.72,0,0,28.69,0,0,1.72,16.07,0,1.15,0,0,1.15,0,4.59,0.57,14.35,0.57,1.15,1.15,99.84,0,6.31,2.3,0,0,33.85,0.57,0,0.57,0,29.26,0,0,1.15,0,1.15
 60-70,0,0.98,0,5.89,0,0,80.48,0.98,2.94,0,29.45,0.98,0,0,0,0.98,0.98,0,0.98,16.69,0,0,0.98,129.56,1.96,1.96,1.96,0,0,48.09,0,0.98,0.98,0,14.72,0,0.98,0.98,0.98,0
 72-82,0,0,0,14.72,0.98,1.96,105.04,0.98,0.98,0.98,34.36,5.89,0,0,0,0.98,0,3.93,0,26.5,0.98,1.96,0.98,94.24,1.96,6.87,3.93,0,0,39.27,0,0,0,0,16.69,1.96,0,2.94,2.94,0
 84-94,0,2.12,0,15.93,2.12,1.06,83.9,0,2.12,1.06,20.18,5.31,1.06,0,1.06,6.37,0,2.12,3.19,11.68,2.12,3.19,1.06,55.23,0,4.25,2.12,0,0,116.82,0,0,1.06,1.06,7.43,2.12,0,1.06,0,0
 96-106,0,3.28,0,15.3,2.19,1.09,56.83,0,0,1.09,14.21,9.84,0,0,0,5.46,0,1.09,0,20.76,2.19,1.09,0,50.27,0,9.84,2.19,0,1.09,90.71,0,0,0,0,2.19,1.09,0,2.19,4.37,0
108-118,0,0.77,0,19.92,0,3.83,42.89,0,5.36,0.77,13.02,1.53,0,0,0.77,4.6,0,2.3,0,9.96,2.3,0.77,1.53,52.09,0,3.83,2.3,0,0,66.64,0,0,0.77,0.77,2.3,1.53,0.77,3.06,0,0
120,0,3.92,0,21.56,1.96,0,43.12,0,5.88,0,13.72,11.76,0,0,0,1.96,0,1.96,0,9.8,1.96,0,0,54.87,0,3.92,3.92,0,0,50.95,0,0,0,0,1.96,0,0,0,3.92,0
