stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,ionocyte,lateral.line,mesenchyme,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,12.59,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0
 14-21,0,1,6,1,0,0,0,0,0,0,1,6,0,0,0,1,1,0,1,2
 24-34,0,0,0.82,0,0.82,0,0,0,0,0,1.64,1.64,0,0,1.64,0.82,0,0,0,1.64
 36-46,0,0,2.42,0,0,0,0,0.81,0,0,0,2.42,0,0,0,0.81,0,0,0,0.81
 48-58,0,0,1.15,0,0,0,0,0,0.57,0,0.57,1.15,0,0,0.57,0,0,0,0,0
 60-70,0,0,0.98,0,0,0,0.98,0,0,0,0.98,1.96,0,0,0,0,0,0,0,0.98
 72-82,0,0,5.89,0,0,0,0.98,0,0,0,1.96,0,0,0,0.98,0.98,0,0.98,0,0
 84-94,0,0,2.12,0,0,1.06,0,0,0,1.06,1.06,0,1.06,0,1.06,3.19,0,0,0,0
 96-106,0,0,8.74,0,1.09,0,0,0,0,0,4.37,0,0,0,1.09,3.28,0,0,0,0
108-118,0,0,0.77,0,0,0.77,0,0,0,0,0.77,0.77,0,0,0.77,0,0,0,0,0
120,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0
