stage,endoderm,erythrocytes,eye,gut,mesenchyme,muscle,neural,paraxial.mesoderm,presomitic.mesoderm,somites,spinal.cord
  7-9,0,0,0,0,0,0,0,18.4,0,0,0
 10-12,3.15,0,0,0,0,0,0,12.59,0,3.15,0
 14-21,1,1,0,1,0,5,0,0,5,23,0
 24-34,0,0,0,0,0.82,3.28,1.64,0,0,1.64,0
 48-58,0,0,0.57,0,0.57,1.15,1.15,0,0,0,1.15
 60-70,0,0,0,0,1.96,0,0,0,0,0,0.98
 72-82,0,0,0,0,2.94,1.96,0.98,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,1.09,0,0,0,0
108-118,0,0,0.77,0,0,0,0.77,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0
