stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
 24-34,0,0,0,0,46.79,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0.82,0.82,0.82,0,0,0.82,0,0,0,0
 36-46,0,0,0.81,0,91.04,0,0,0,0,0,0,0,0,0,0,0.81,0,0,3.22,0,0,0,0,0,0,0,0.81,0,0.81,0,0
 48-58,0,0,0,0,147.47,0,2.87,0,1.15,0,0.57,0,0,0,0,1.72,0,0,1.72,0,0,0,0,0,0,0,0.57,0,0.57,0,0
 60-70,0,0,0,0,202.19,0,3.93,0,0,0.98,1.96,0,0,0,0,0.98,0,0,7.85,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,434.88,0,18.65,0,0,1.96,3.93,0,0,0.98,0.98,3.93,0,0.98,16.69,0,0,0.98,1.96,0,0,0,1.96,0,0.98,0.98,0
 84-94,0,0,0,2.12,398.26,0,9.56,1.06,0,0,2.12,0,0,0,4.25,3.19,0,1.06,8.5,0,1.06,0,2.12,1.06,0,0,2.12,0,1.06,1.06,1.06
 96-106,0,0,0,7.65,515.82,0,15.3,0,1.09,2.19,2.19,1.09,2.19,3.28,0,9.84,0,1.09,24.04,0,0,1.09,4.37,1.09,0,0,2.19,0,5.46,0,0
108-118,0,0,0,2.3,340.85,0,9.96,0,2.3,0,4.6,0,0.77,1.53,0,5.36,0.77,0.77,15.32,0.77,0,0.77,3.06,0,0,0,0,0.77,2.3,0,0
120,0,0,0,3.92,456.63,3.92,1.96,0,0,0,0,0,0,3.92,1.96,7.84,0,0,21.56,0,0,0,1.96,0,1.96,0,0,0,1.96,0,1.96
