stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,1,0,1,61,0,0,0,0,0,0,1,11,0,0,0,0,0
 24-34,0,0,0,5.75,0,0,3.28,0,0,0,0.82,0,0,0,2.46,0,0,0,2.46,0,0.82,334.91,22.16,0,0,0,0,0,0,38.58,0,0,0,0,0
 36-46,0,1.61,0,1.61,0,0,3.22,0,0,0,1.61,0,0,0,0,0,0,3.22,0,0,0,735.58,28.2,0,0,0,1.61,0,0,55.59,0,0,0.81,0,0
 48-58,0,1.72,0,1.72,0.57,0,32.13,0,0,0,4.59,0,0,0,0,0,0,5.74,0,0,0,924.97,23.53,0,0,0,0.57,0,0,70,0,0,0.57,0,1.15
 60-70,0,0,0,5.89,0,0,62.82,0,0,0,12.76,0,0,0,0,0,0,3.93,0,0,0,1325.05,17.67,0,0,0,0.98,0,0,46.13,0,0,0,0,1.96
 72-82,0,1.96,0,4.91,0.98,0,111.91,0,0,1.96,25.52,0,0,0,0,0,0,14.72,0,0,0.98,1744.41,41.23,0,0,0,1.96,0,0,60.86,2.94,0.98,0.98,0,1.96
 84-94,0,1.06,0,5.31,0,0,95.58,1.06,2.12,2.12,19.12,0,1.06,1.06,0,1.06,1.06,9.56,0,0,3.19,862.37,31.86,0,0,0,4.25,0,0,26.55,5.31,0,1.06,2.12,3.19
 96-106,0,0,0,5.46,0,1.09,75.41,1.09,0,2.19,19.67,2.19,1.09,3.28,0,1.09,1.09,8.74,0,0,4.37,688.49,34.97,2.19,0,0,2.19,0,0,16.39,3.28,2.19,2.19,1.09,0
108-118,0,2.3,0,11.49,0,0,36.77,0.77,0,0,22.21,0.77,0,0.77,0,0.77,0.77,9.96,0,0.77,1.53,901.54,19.15,0.77,0,0.77,0.77,0.77,0,13.02,4.6,0,0.77,0.77,0.77
120,0,0,0,19.6,1.96,0,58.79,0,0,0,9.8,0,0,0,0,0,0,5.88,0,0,3.92,958.34,9.8,3.92,0,0,0,0,0,17.64,3.92,0,0,0,0
