stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0
 24-34,0,0,0,1.64,0,0,2.46,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0.82,45.15,0,0,0,0,0,0,0.82,0,4.1,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,9.67,0,0.81,0,0,0,0,0,0,0,0,0.81,0,0.81,0,150.66,0,2.42,0,0,0,0,0.81,0,8.06,0,0,0.81,0,0
 48-58,0,0,0,1.72,0,0,60.25,0,0,3.44,0,0,0.57,1.15,0.57,0,0,1.15,0.57,0.57,1.15,141.73,0,1.15,0.57,0,1.15,0,0.57,0,6.31,0,0,0,0,0.57
 60-70,0,0,0.98,0,0.98,0,148.21,0,0,3.93,0,0,0,0,0,0,0,0.98,0,0,0.98,161.95,0,0.98,0,0,0,0,0,0.98,6.87,0,0,0,0,0
 72-82,0,0,0,1.96,0,0,115.84,0.98,0.98,8.83,0,2.94,0.98,0,0,0,0,14.72,0,0,1.96,193.39,0,1.96,0,0,0,0,0,0,3.93,0,0,0,0,0.98
 84-94,0,0,0,3.19,0,0,77.53,0,0,6.37,1.06,0,1.06,1.06,0,0,2.12,8.5,0,0,3.19,82.84,0,0,1.06,0,1.06,0,0,0,1.06,0,2.12,0,1.06,0
 96-106,0,0,0,4.37,2.19,0,86.33,0,0,3.28,1.09,0,0,0,0,0,0,9.84,0,0,1.09,54.64,0,1.09,0,0,1.09,0,0,0,0,1.09,0,0,0,0
108-118,0,0,0,0.77,2.3,0.77,95.75,0,0,3.06,0,0.77,0,0,0,1.53,0,8.43,0,0,0.77,53.62,0.77,0.77,0.77,0,1.53,0,0.77,0,2.3,0.77,0.77,0.77,0,0
120,0,0,0,1.96,1.96,0,80.35,0,0,7.84,1.96,1.96,0,0,0,0,0,3.92,0,0,5.88,101.91,1.96,1.96,1.96,0,1.96,0,0,0,0,0,0,0,0,0
