stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,3.15,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,2,3,6,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,32,5,0,1,1,0,1,3,0,0,124,34,0,0,0,0,0
 24-34,0,0,0.82,0.82,7.39,1.64,0.82,0,0.82,0,20.52,0,0,0.82,0,0,0,0,0.82,0.82,20.52,0.82,0.82,10.67,167.45,2.46,0.82,0,0,0.82,3.28,0.82,2.46,1.64,72.24,145.29,0,0,17.24,0,0
 36-46,0,0,0,0,7.25,0.81,4.03,1.61,1.61,0,36.26,0,0,3.22,0,0,0,0.81,0.81,2.42,26.59,0,5.64,8.06,286.01,0,3.22,0,0,0,3.22,0.81,0,0.81,4.03,258.62,0,0,17.72,0,0
 48-58,0,0,0,0,2.3,0,24.1,0,1.72,0.57,26.97,0,0,1.72,0,0.57,0,0.57,0,4.59,39.02,0,6.89,4.59,381.01,0,1.72,0,0,1.72,1.15,0,1.15,0,0,211.73,0,2.87,9.75,0.57,1.15
 60-70,0,0,0,0,1.96,0,26.5,2.94,1.96,0.98,14.72,0,0,1.96,0,0,0.98,0.98,0,1.96,47.11,0,8.83,5.89,420.09,0,0,0,0,1.96,0.98,0,0.98,0,0,101.1,0,6.87,9.82,0,0.98
 72-82,0,0,0,0,5.89,0,50.06,1.96,0.98,4.91,31.41,0,0,0,0.98,0,1.96,0,0,1.96,50.06,0,12.76,9.82,389.72,0,0,0.98,0,2.94,3.93,0,2.94,0,0,45.16,0.98,8.83,8.83,8.83,0
 84-94,0,0,1.06,0,9.56,0,44.61,2.12,3.19,5.31,18.05,2.12,0,1.06,0,0,0,0,0,3.19,36.11,0,12.74,6.37,179.48,0,0,0,0,2.12,3.19,0,0,2.12,0,35.05,0,10.62,6.37,10.62,3.19
 96-106,1.09,0,0,0,2.19,4.37,46.99,2.19,0,3.28,16.39,0,0,0,2.19,0,1.09,0,0,2.19,31.69,0,12.02,2.19,167.21,1.09,0,3.28,0,4.37,4.37,0,0,0,0,10.93,2.19,1.09,6.56,8.74,1.09
108-118,0,0,0,0,7.66,1.53,33.7,3.06,1.53,3.06,16.09,0.77,0,0,0.77,1.53,6.13,0,0,3.83,29.11,0,4.6,3.06,182.3,0,0,1.53,0,3.83,2.3,0,0,0.77,0,5.36,0.77,0,1.53,1.53,1.53
120,0,0,0,0,0,0,43.12,1.96,0,0,17.64,1.96,0,0,0,0,3.92,1.96,0,1.96,15.68,0,3.92,9.8,229.29,0,0,0,0,3.92,1.96,0,0,0,0,7.84,0,3.92,1.96,0,1.96
