stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,mesenchyme,mucous,muscle,neural,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,6.29,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,1,3,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0.82,0,12.31,0,0,0.82,0,0,4.1,0.82
 36-46,0,0,0,0,1.61,0,0,0,0,0,0,0,10.47,0,0,1.61,0,0,4.03,0
 48-58,0,0,0,0,4.59,0.57,0,0,0,1.72,0,0.57,8.03,0,0,0,0,0,1.72,0
 60-70,0,0.98,0,0,3.93,0,0.98,0,0.98,0.98,0,0,3.93,0,0,0,0,0,2.94,0.98
 72-82,0,0,0,0,0,0,3.93,0.98,0,1.96,0,0,5.89,0,0,0,0,0,0.98,0.98
 84-94,0,0,0,0,0,0,1.06,0,0,1.06,0,0,3.19,0,1.06,0,0,0,0,1.06
 96-106,0,0,0,0,1.09,0,3.28,0,1.09,0,0,0,2.19,0,0,0,0,0,0,0
108-118,0,0,0.77,0,0,0,0.77,0,0,0,0,0,5.36,0,0,0,0,0,0,1.53
120,0,0,0,0,0,0,1.96,0,0,1.96,0,0,1.96,0,0,0,0,0,0,1.96
