stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,2,1,13,0,0,0,0,0,1,0,0,1,13,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,2,1,0,1,0,0
 24-34,0,0,0,9.03,0,0,1.64,0,0,0,1.64,0,8.21,33.66,0,0,0,0,0.82,4.1,0,0.82,18.06,0,0.82,0,0,3.28,0,0,4.1,0,0,0,0
 36-46,0,0,0,4.83,0,0.81,1.61,0,0,0.81,0,0,4.83,8.86,0,1.61,0,0,2.42,4.83,0,0,22.56,0,0,0,0,2.42,0,0,0.81,0,0,0,0
 48-58,0,0,0,2.87,0,1.15,1.72,0.57,0,0.57,1.15,0,1.15,4.02,0,1.72,0,0,3.44,5.16,0,0,12.62,0,0,0,0,4.59,0,0,2.3,0,0.57,0,0.57
 60-70,0,0,0,7.85,0,1.96,2.94,0,0.98,0,0,0,3.93,2.94,0,3.93,0,0,7.85,7.85,0,0.98,24.54,0,0,0.98,0,5.89,0,0,0,0,0,0,0
 72-82,0,0.98,0,9.82,1.96,2.94,2.94,0,2.94,8.83,0,0,13.74,12.76,0,8.83,0,0,3.93,19.63,0.98,0,37.3,0,0.98,0,0,6.87,0,0,3.93,0,0,0,0
 84-94,0,1.06,0,16.99,0,4.25,4.25,0,3.19,18.05,0,0,12.74,25.49,1.06,9.56,1.06,1.06,8.5,13.81,0,0,26.55,0,1.06,0,0,15.93,0,0,3.19,1.06,2.12,0,0
 96-106,0,1.09,0,27.32,1.09,3.28,2.19,2.19,4.37,19.67,1.09,1.09,38.25,19.67,0,14.21,0,0,17.49,19.67,0,1.09,37.16,0,2.19,1.09,0,7.65,1.09,0,2.19,5.46,1.09,1.09,1.09
108-118,0,1.53,0,29.11,0,3.83,6.13,0.77,2.3,26.81,0,0,30.64,24.51,0.77,4.6,1.53,0,5.36,6.13,0,0,40.6,0,0,0.77,0,3.83,0,0,0,4.6,0,0,0
120,0,0,0,25.48,0,3.92,7.84,1.96,3.92,29.4,0,0,31.36,13.72,0,7.84,0,0,1.96,5.88,0,0,74.47,0,0,1.96,0,7.84,0,0,0,1.96,1.96,0,0
