stage,blastomeres,endocrine.pancreas,epidermis,eye,fin.epithelia,glial,gut,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,8,0,0,0
 24-34,0,0.82,0,0.82,0,0,0,0,0,0,0,0,0,0,98.5,4.1,0,0,0,0,22.16,0,0,0
 36-46,0,0.81,0.81,50.76,0,4.83,0.81,0,0,0,0,0,0,0,247.34,1.61,0,0,0.81,0,45.92,0,0,0.81
 48-58,0,0,0.57,105.01,0.57,3.44,0,0,0,0,0,1.15,0,1.15,270.84,0.57,0,0,0,0,49.35,0,0,0
 60-70,0,0,0.98,192.38,0,11.78,0,0,0,0,0,0.98,0,0,281.7,0.98,0,0,1.96,0.98,32.39,0,0,0
 72-82,0,0,0.98,120.74,0,8.83,0,1.96,0,0,0,0.98,0,0.98,246.4,4.91,0,0,0.98,0,22.58,0,0,0.98
 84-94,0,1.06,1.06,76.47,0,5.31,0,0,0,0,1.06,5.31,0,0,103.02,1.06,0,0,5.31,0,14.87,0,1.06,0
 96-106,0,0,1.09,51.36,0,5.46,1.09,0,0,0,0,4.37,1.09,0,78.68,3.28,0,0,3.28,0,5.46,0,1.09,0
108-118,0,0,1.53,49.02,0,3.83,0,0,0.77,0.77,0,1.53,0,0,81.96,3.06,0.77,0.77,0.77,0.77,2.3,0.77,0,0
120,0,0,3.92,39.2,0,5.88,1.96,0,0,0,0,1.96,0,0,86.23,1.96,0,0,1.96,0,0,0,0,0
