stage,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0,0
 14-21,1,0,0,0,0,0,0,0,2,3,0,0,0,0,1,2
 24-34,0.82,0,2.46,0,0,0,0,0.82,0,6.57,0,0.82,0,0,0,0.82
 36-46,0.81,0,0.81,0.81,0,0,0,0.81,0,1.61,0,0,0,0,0,0.81
 48-58,0,0,1.15,0,0,0,0,0.57,0.57,1.15,0,0,0,0.57,0,0.57
 60-70,0,0,0.98,0,0,0,0.98,1.96,0.98,2.94,0,0.98,0,0,0,0.98
 72-82,0.98,1.96,0,0.98,0,0.98,0,5.89,0,2.94,0,0,0,0,0,0
 84-94,0,0,2.12,0,0,1.06,0,5.31,1.06,4.25,0,0,0,3.19,0,0
 96-106,0,0,0,0,0,1.09,0,3.28,0,1.09,0,1.09,0,2.19,0,0
108-118,0,0,0.77,0.77,1.53,2.3,0,4.6,0.77,3.06,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
