stage,axial,blastomeres,epidermis,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,immune,liver,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,1,2,0,0,0,0,11,0,0,1,3,0,0,0
 24-34,0,0,0,0,1.64,0,0,0,19.7,0,0.82,4.93,7.39,16.42,0,2.46,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0.81,0,18.53,0,6.45,2.42,3.22,9.67,0,2.42,0,0,0.81,0,0
 48-58,0,0,0,0,0.57,0,1.72,0,18.94,0,4.59,1.72,1.72,5.16,0,1.72,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,1.96,0.98,21.59,0,7.85,1.96,1.96,3.93,0,1.96,0,0,0.98,0,0
 72-82,0,0,0,0,1.96,0.98,0.98,0.98,32.39,0,6.87,0,2.94,0.98,0,1.96,0,0,0,0,0.98
 84-94,0,0,0,0,0,0,0,1.06,53.1,0,6.37,0,1.06,1.06,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,61.2,0,7.65,0,0,2.19,0,1.09,0,0,1.09,0,0
108-118,0,0,0,0.77,0.77,0,0,0,42.13,0.77,4.6,0,3.06,0.77,0,0,0,0,0,0.77,0
120,0,0,0,0,0,0,1.96,1.96,33.32,0,1.96,0,0,1.96,0,0,0,0,0,0,0
