stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,3.15,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,48,3,0,1,0,0
 24-34,0,0,1.64,0,0,0,0,0,0,0,0,0,0.82,0.82,0,0.82,9.03,0,0,0.82,0,0.82,0,0,64.85,0.82,0,4.93,0,0
 36-46,0,0,0.81,0,0.81,0,0.81,0,0,0,0,0.81,0,7.25,0,0,20.95,0,0,0,0,0,0,0,41.09,2.42,0,0,0,0
 48-58,0.57,0,1.72,0,1.72,1.15,0.57,0,0,0,0,0,5.16,8.03,0.57,0,25.25,0,0,0,0,0,0,0,25.25,2.87,0,0.57,0,0
 60-70,0.98,0,0.98,0,1.96,4.91,0,0,0,0,0,0,2.94,19.63,0,0,45.15,0,0,0,0,0,0,0,28.46,0.98,0,1.96,0,0
 72-82,0.98,0,4.91,0,0.98,1.96,6.87,0,0,0,0,5.89,2.94,21.6,0.98,0,82.46,0,0,0.98,0,0,0.98,0,61.84,2.94,0,3.93,0.98,0
 84-94,1.06,1.06,1.06,0,1.06,4.25,13.81,0,0,0,0,5.31,7.43,9.56,0,0,63.72,0,0,0,0,0,3.19,0,128.51,2.12,0,0,3.19,0
 96-106,1.09,2.19,2.19,0,0,6.56,28.41,0,0,2.19,0,8.74,2.19,19.67,0,1.09,43.71,0,1.09,0,0,2.19,1.09,0,136.61,5.46,1.09,3.28,1.09,0
108-118,0,0.77,3.06,0,0,12.26,20.68,0,0.77,0.77,0.77,6.13,5.36,16.09,0,0.77,69.7,0,0,0.77,0,2.3,0.77,0,127.15,0.77,0.77,0.77,0.77,0.77
120,0,0,0,1.96,0,9.8,17.64,0,0,0,0,19.6,1.96,3.92,0,0,50.95,0,0,0,0,3.92,0,1.96,78.39,3.92,0,0,1.96,1.96
