stage,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,liver,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,1
 24-34,0,0.82,0,0,0,0,0,0.82,0,0.82,0.82,4.1,0,0,0,0,0,0.82
 36-46,0,1.61,0,0,0.81,0,0,0.81,0,1.61,0,4.03,0,0,0,1.61,0,1.61
 48-58,0.57,0,0.57,0,0,2.3,0,0,0,0.57,1.15,3.44,0.57,0,0,1.15,0,0
 60-70,0,3.93,0,0,0,0,0,0,0,1.96,0,1.96,0.98,0,1.96,0,0.98,0
 72-82,0,1.96,0,0,0,0.98,0,0,0,0,0,1.96,0,0,0.98,0,0,0.98
 84-94,0,1.06,0,0,0,0,0,0,1.06,1.06,0,1.06,0,0,4.25,1.06,0,0
 96-106,0,0,0,2.19,0,0,0,0,0,0,0,1.09,0,0,2.19,0,0,0
108-118,1.53,0,0,0,0,2.3,0.77,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
