stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,otic,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,3,3,0,0,3,8,1,5,1,0,0,0,0
 24-34,0,0.82,0,0.82,0,0,0,0,0,0.82,3.28,0,0,5.75,0,1.64,6.57,0,0,1.64,0,0,0,0,0,0,1.64,0
 36-46,0,0,0,0.81,0,0,0.81,0.81,0,0,0.81,0.81,0,12.09,0.81,3.22,4.83,0,0,2.42,0,0,0,2.42,0,0,0.81,0
 48-58,0,0,0.57,2.87,0,0,0.57,0,0,0.57,6.89,0,0,11.48,2.3,2.87,2.3,0,0,0.57,0,0.57,0,1.15,0,0,0,0
 60-70,0,0,0,1.96,0,0,2.94,0,0,0,11.78,0.98,0,19.63,2.94,3.93,4.91,0.98,0.98,0,0,0,0,0,0,1.96,0.98,0
 72-82,0.98,0.98,0,1.96,0.98,0,5.89,1.96,0.98,0,13.74,0.98,0.98,29.45,3.93,4.91,5.89,0,2.94,2.94,0,0,0,0,0.98,0.98,0.98,2.94
 84-94,0,0,0,0,0,0,2.12,0,1.06,3.19,18.05,1.06,0,14.87,2.12,0,3.19,0,1.06,3.19,0,0,0,1.06,0,2.12,0,3.19
 96-106,0,1.09,0,2.19,0,0,4.37,2.19,0,2.19,20.76,0,2.19,28.41,1.09,3.28,3.28,0,7.65,2.19,0,0,0,0,0,1.09,0,3.28
108-118,0,0.77,0,0.77,0,0.77,3.06,3.83,2.3,0.77,6.89,1.53,0.77,31.4,3.83,3.83,3.06,0,4.6,1.53,0,0,0,0,0,1.53,0,2.3
120,0,0,0,0,0,0,0,0,0,1.96,15.68,0,0,21.56,1.96,0,5.88,0,0,0,0,0,0,0,0,0,1.96,3.92
