stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,periderm
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,1.15
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,9.82
 72-82,0,0,0,0,0.98,0,0,0,0,0,0.98,0,24.54
 84-94,0,0,0,1.06,1.06,0,2.12,0,0,1.06,0,0,81.78
 96-106,0,1.09,0,0,3.28,1.09,3.28,0,2.19,0,0,3.28,224.03
108-118,0,0.77,1.53,0.77,0.77,0,0.77,0.77,0.77,0.77,0,2.3,74.3
120,0,0,0,0,0,0,0,0,0,0,0,1.96,41.16
