stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,10.51,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,3,4,0,0
 24-34,0,0,0,1.64,0.82,3.28,0,0,0,0,0,0,2.46,0,0,21.34,0.82,0,0,0.82,0,0,0,3.28,0.82,0
 36-46,0,0,0,0,0,0.81,0,0.81,0,0,0,0,0.81,0,1.61,12.89,0,0.81,0,0,0,0,0,1.61,0,0
 48-58,0,0,0,0,0,3.44,0,3.44,0,0,0,0.57,1.72,0,0,13.2,0,0.57,0,0.57,0,0,0,0.57,0,0
 60-70,0,0,0,0.98,0,6.87,0.98,4.91,0,0,0,0,1.96,0.98,0,4.91,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,3.93,0,1.96,0,0,0,0,0,0,0,4.91,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,2.12,1.06,0,2.12,0,0,0,0,4.25,0,2.12,2.12,0,0,0,0,0,0,0,0,2.12,0
 96-106,0,0,0,1.09,0,2.19,0,1.09,1.09,0,0,0,2.19,0,0,3.28,0,0,0,2.19,1.09,0,0,1.09,0,0
108-118,0,0,0,2.3,0,0.77,0,0,0,0.77,0,0,3.83,0,0,2.3,0,0,0,2.3,0,0.77,0,0,1.53,0.77
120,0,0,0,0,0,1.96,0,1.96,0,0,1.96,0,1.96,0,0,3.92,0,0,0,3.92,0,0,0,0,0,0
