stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,18.4,0,42.06,0,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,525.74,0,0,0,113.03,0,0,0,0,0,0,0,0,0,0
 10-12,53.5,0,163.64,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,1117.17,6.29,0,0,188.82,0,0,0,37.76,0,6.29,0,0,0,0
 14-21,0,6,78,21,7,0,0,0,0,0,8,58,1,0,0,0,0,0,0,22,0,3,79,1,1,1,5,1,0,1,183,2,142,0,0,0,0
 24-34,0,4.1,27.91,0,0,0,0.82,0,0,0,14.78,25.45,0,0,0,0.82,0,0,6.57,0,0,0,29.55,0,0,0,0,0.82,0,0,93.58,0,17.24,0,0,0,0
 36-46,0,0.81,4.03,0.81,0,0,2.42,0,0,0,8.86,12.09,0,0,0,0,0,0,6.45,0,0,0,8.06,0,0.81,0,0,0,0,0,41.89,0,4.03,0,0,0,0
 48-58,0,2.87,1.72,0.57,0.57,0,2.3,0,0,0.57,17.79,21.23,0,0,0,0,0,0,6.89,0,0,0.57,6.31,0.57,0,0,0,0,0,0,45.33,0,3.44,0,0,0.57,0
 60-70,0,1.96,0,0,0.98,0,2.94,0,0,0,5.89,28.46,0,0.98,0,0,0.98,0,8.83,0,0,0,8.83,0,0,0,0,0,0,0,45.15,0,1.96,0,0.98,0,0
 72-82,0,6.87,2.94,0,0.98,0.98,7.85,0,0,0,11.78,56.94,0,0,0,0,0,0,4.91,4.91,0,0,16.69,0,0,0,0,0.98,0,0,82.46,0,2.94,0,0,0.98,0
 84-94,0,5.31,9.56,0,2.12,6.37,2.12,0,0,0,9.56,77.53,0,0,1.06,0,0,1.06,15.93,1.06,0,2.12,5.31,0,0,0,0,2.12,0,0,168.86,0,0,0,0,0,2.12
 96-106,0,5.46,15.3,0,4.37,3.28,2.19,1.09,0,0,2.19,73.22,0,0,0,0,0,0,12.02,4.37,0,2.19,20.76,0,0,0,0,2.19,0,0,161.74,0,0,0,0,1.09,1.09
108-118,0,3.83,15.32,0.77,0,3.83,3.06,0,0,0,2.3,52.85,0,0,0.77,0,0,0,18.38,0.77,0.77,1.53,15.32,0,0.77,0,0,3.06,0,0,154.72,0,2.3,0.77,0,0,0
120,0,1.96,3.92,0,1.96,3.92,5.88,0,1.96,0,3.92,48.99,0,0,0,0,0,0,25.48,1.96,0,0,11.76,0,0,0,0,0,1.96,0,97.99,0,0,0,1.96,0,0
