stage,axial,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,124,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,153.5,3.28,0.82,0,0,0,0,0,0,0,2.46,0.82,0,0.82,8.21,0,0,0,0,0.82,2.46,0,0.82,0,0
 36-46,0,0,67.68,2.42,6.45,0.81,0.81,0,0,0,0,0,2.42,0.81,0,0,7.25,0,0,0,0,0,0,0,0,0,0
 48-58,0.57,0,60.25,2.3,8.61,0,2.3,0,0,0,0,0,4.59,0,0,0,13.2,0,0,0,0,0,1.15,0,0.57,0,0.57
 60-70,0,0,78.52,1.96,4.91,0,0.98,0,0,0,1.96,0,1.96,0,0,0,15.7,0,0,0.98,1.96,0,0,0.98,1.96,0,0
 72-82,0,0,62.83,3.93,21.6,0,1.96,0,0,0,0,0.98,12.76,0,0.98,0,24.54,0.98,0.98,0,0,0,0.98,0,0.98,0,0
 84-94,0,0,193.29,2.12,36.11,0,0,0,0,3.19,0,0,5.31,2.12,1.06,0,14.87,1.06,0,0,0,0,0,2.12,7.43,1.06,0
 96-106,0,0,159.56,2.19,28.41,0,3.28,0,0,2.19,0,0,13.11,2.19,1.09,0,14.21,0,0,0,1.09,0,0,0,3.28,0,1.09
108-118,0,0,203.75,1.53,55.15,0,0.77,0.77,0.77,1.53,0,0,6.89,0,0,0,9.96,2.3,0,0,1.53,0,0,0,0.77,0,0
120,0,0,166.58,1.96,33.32,0,1.96,1.96,0,0,0,0,3.92,1.96,0,0,13.72,0,0,0,0,0,0,0,1.96,0,0
