stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,12.26,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,1,0,13,0,0,0,0,0
 24-34,0,0,0,1.64,0,18.06,0,0,0,1.64,0,0,0,0,0,0,0,0,2.46,0,0,0.82,96.86,0,4.1,0,0,0,0.82,0,0,12.31,0,0,0,0,0
 36-46,0,0,0,0,0,16.11,0,0,0,11.28,0,0,0,0,0.81,0,0,0,2.42,0,0,0,175.64,0.81,0.81,0,0,0,0,0,0,26.59,0,0,0,0,0
 48-58,0,0,0,2.3,0,60.82,0,0.57,0.57,64.84,0,0,0.57,0,0.57,0,0,0,14.92,0,0,1.72,276,0.57,0.57,1.15,0,0,1.72,0,0.57,36.72,0,0,0,0,1.15
 60-70,0,0,0,2.94,0,232.62,0,0.98,0.98,116.8,0,0,0.98,0,0,0,0.98,0,30.43,0,0,2.94,375.92,0,0,1.96,0,0,2.94,0,0.98,53,0,0,0.98,1.96,1.96
 72-82,0,0,0,9.82,0.98,321,0,1.96,1.96,133.51,0.98,0,0,0.98,1.96,1.96,0,0,99.15,0.98,0,2.94,542.86,0.98,0,3.93,0,0,4.91,0,0,38.28,0,0.98,0,0,0.98
 84-94,0,0,1.06,19.12,2.12,231.52,1.06,1.06,0,83.9,1.06,0,0,0,3.19,0,0,1.06,59.47,0,0,3.19,307.99,0,1.06,2.12,0,1.06,7.43,0,0,15.93,1.06,2.12,2.12,2.12,0
 96-106,0,0,0,15.3,2.19,165.02,0,0,1.09,69.94,2.19,0,0,0,0,0,0,0,39.34,0,0,2.19,313.65,1.09,2.19,6.56,0,1.09,4.37,0,0,14.21,2.19,2.19,1.09,2.19,0
108-118,0,0,0,16.85,2.3,151.66,0.77,0,0,65.11,0,0.77,1.53,0,0.77,0,0.77,0,32.17,0,0.77,0.77,379.92,0,0.77,3.06,0,0,5.36,0,0.77,11.49,0,2.3,0,0,0
120,0,0,0,13.72,1.96,135.23,1.96,0,0,48.99,1.96,0,1.96,0,0,1.96,0,0,21.56,0,0,0,325.32,5.88,3.92,7.84,0,0,3.92,0,0,11.76,0,0,0,0,0
