stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,hatching.gland,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,xanthophores
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,67.43,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,2.63,0,0,2.63,0,0,0,0,0,36.8,5.26,0,21.03,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,9.44,0,0,0,0,0,0,0,0,18.88,3.15,0,22.03,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,3,0,1,1,0,1,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,8.21,0.82,0,0,0,0,0.82,2.46,0,0
 36-46,0,0,0,0,0,4.03,0.81,1.61,0,0,0,0,0,0,8.06,0.81,0,0,0,0,0,3.22,0,0
 48-58,0,0,0,0,0,5.74,1.15,1.15,0,0,0.57,0.57,0,0,17.79,0,0,0,0.57,0,0,6.89,0.57,0
 60-70,0,0,0,0,0,4.91,0,0.98,0,0.98,0,0,0,0.98,10.8,1.96,0,0,0,0,0,2.94,0,0
 72-82,0,0,0,0.98,0.98,0.98,0,5.89,0,0,0,4.91,0.98,0,14.72,0.98,0,0,0,0,0,3.93,0,0.98
 84-94,0,0,0,1.06,0,3.19,0,3.19,0,2.12,0,3.19,0,0,5.31,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,0,1.09,1.09,8.74,0,2.19,2.19,2.19,0,0,9.84,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0,0.77,1.53,0,3.06,0,0.77,1.53,0.77,0.77,0,4.6,1.53,0,0,0,0,0,0.77,0,0
120,0,0,0,1.96,0,0,0,9.8,0,0,1.96,0,0,0,5.88,1.96,1.96,0,0,0,0,0,0,0
