stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,0,5.26,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.57,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.82,0,0,0,15.73,0,3.15,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,3,1,1,0,0,0,2,0,1,0,0,0,0,0,1,3,0,1,27,0,0,0,0,0,5,1,0,4,7,0,0,0
 24-34,0,0,0,0.82,3.28,0,3.28,0,0.82,0,0.82,0,0,2.46,0,0,0,0,0.82,10.67,0,1.64,56.64,0.82,2.46,0,0,4.93,0,2.46,0,0,7.39,0,0,0
 36-46,0,0,0,0,0.81,0,4.83,0,0,0,2.42,0,0,0,0,0,0,0,0,4.83,0.81,3.22,69.29,0,0,0.81,0,1.61,0,0,0.81,0,20.95,0.81,0,0
 48-58,0,0,0,0,1.15,0,10.33,0.57,0,0,2.3,0,0,0,0,0,0,0.57,0,5.74,0,0.57,38.44,0,0,0,0,0,0,0,0,0,4.59,0,0,0.57
 60-70,0,0,0,0,2.94,0,28.46,0,0,0,2.94,0,0.98,1.96,0,0,0,0,0,5.89,0.98,0,68.71,0,3.93,0,0,0,0,0,0,0,11.78,1.96,0,0
 72-82,0,0,0,0,2.94,2.94,33.38,0,0,1.96,5.89,0,0,0.98,0.98,0,0,0,0,18.65,0,1.96,56.94,0,0.98,0.98,0,0.98,0,0.98,0,0,5.89,1.96,0,0
 84-94,0,0,1.06,0,3.19,2.12,14.87,0,0,0,3.19,1.06,1.06,1.06,0,0,0,1.06,0,10.62,2.12,0,23.36,1.06,0,0,0,5.31,0,1.06,0,0,2.12,0,0,0
 96-106,0,0,0,0,5.46,2.19,14.21,0,1.09,0,3.28,1.09,0,0,0,0,1.09,1.09,0,18.58,2.19,1.09,13.11,0,0,0,0,8.74,0,0,0,0,1.09,2.19,3.28,1.09
108-118,0,0,0.77,0,1.53,0.77,4.6,1.53,0.77,0,6.89,0.77,0,0,1.53,0.77,0.77,0,0,11.49,0,1.53,26.04,0,2.3,2.3,0,6.89,0,0,0,0,0.77,0,0,0
120,0,0,0,0,1.96,3.92,3.92,0,0,0,3.92,0,0,0,0,0,0,0,0,7.84,0,3.92,23.52,0,1.96,0,0,9.8,0,0,0,0,0,3.92,0,0
