stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,18.4,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0
 24-34,0,0,0.82,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0.82,0,1.64,3.28,0,0,0.82,0,0,0,0,0,1.64,0,0,0,0,0
 36-46,0,0,0.81,0,0,97.49,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0.81,0,0.81,8.86,1.61,0,0,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0.57,0.57,0,606.51,0,0,0.57,1.15,0,0,0,0,0,0,0,0,3.44,1.72,0,1.15,22.38,0,0,2.3,0,0.57,0.57,0,0,4.59,0,0,0,0,0
 60-70,0,0,0,0,0,1309.35,0,0.98,0,4.91,0,0,0,0,0,0,0.98,0,7.85,1.96,0,1.96,59.87,0,0,0.98,0,0,3.93,0.98,0,7.85,0,0,0,0,0
 72-82,0,0,10.8,2.94,0,1496.05,0.98,0.98,0.98,10.8,1.96,0.98,1.96,0,0,0.98,0.98,0,25.52,0.98,1.96,2.94,74.61,0,0,4.91,0,0,4.91,0,0,4.91,0,0.98,1.96,0,0
 84-94,0,0,21.24,2.12,0,1607.92,2.12,1.06,1.06,11.68,4.25,0,0,1.06,1.06,0,4.25,0,15.93,0,1.06,4.25,32.92,2.12,1.06,2.12,0,0,7.43,0,0,1.06,0,0,3.19,0,2.12
 96-106,0,0,13.11,4.37,1.09,981.38,0,1.09,0,6.56,0,0,0,2.19,0,1.09,3.28,2.19,9.84,1.09,0,1.09,29.51,0,1.09,6.56,0,0,6.56,0,0,2.19,1.09,0,3.28,0,0
108-118,0,0,3.06,0,0.77,656.43,0,1.53,0.77,4.6,1.53,0,0,1.53,0,0.77,0.77,2.3,7.66,2.3,0,2.3,45.19,0.77,0.77,2.3,0,0,1.53,0.77,0,1.53,1.53,0,0.77,0,0
120,0,0,3.92,0,0,472.31,1.96,3.92,0,5.88,3.92,0,0,0,0,0,0,0,3.92,0,0,1.96,23.52,1.96,0,0,0,0,0,1.96,0,0,0,1.96,1.96,1.96,0
