stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste,vasculature
  3-4,39.53,500.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0
  5-6,30.65,380.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,12.26,0,0,0,0,0,0
  7-9,7.89,13.14,0,15.77,0,0,0,23.66,0,0,0,0,0,7.89,0,0,0,0,0,0,0,247.1,2.63,0,0,86.75,2.63,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,3.15,0,12.59,0,0,0,0,0,9.44,0,0,0,0,0,0,0,182.52,3.15,0,0,34.62,0,3.15,0,3.15,0,0,0
 14-21,0,0,0,0,11,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,8,0,0,2,0,1,0,2,3,3,0,0
 24-34,0,0,0.82,1.64,4.1,1.64,0,2.46,0,0.82,0,0.82,0,0,1.64,0,0.82,0,3.28,0,0,16.42,0,1.64,3.28,0,6.57,0,0.82,0,0,0,0.82
 36-46,0,0,0,0,2.42,0.81,0,2.42,0,0.81,0,0,0.81,0,0,0,0,0.81,3.22,0,0,13.7,0,0.81,0.81,0,5.64,0,0,0,4.83,0,0
 48-58,0,0,0,0,4.59,0.57,0,4.02,0,1.72,0,1.72,0,0,0,0.57,1.72,0,1.15,0,0,5.16,0,1.15,0.57,0,2.87,0,0,0,2.3,0,0
 60-70,0,0,0,0,7.85,1.96,0,2.94,0,1.96,0,0,0.98,0,0.98,0,1.96,0,0.98,0,0,4.91,0,0.98,0.98,0,2.94,0,0,0,0,0,0
 72-82,0,0,0.98,0,3.93,2.94,0,5.89,0,0.98,0,1.96,0.98,0,0.98,0,0.98,0,0,0,0.98,5.89,0,2.94,0,0,4.91,0,0.98,0,0,0,0
 84-94,0,0,0,0,5.31,0,1.06,7.43,0,0,1.06,0,1.06,0,1.06,0,2.12,0,2.12,1.06,0,4.25,0,0,2.12,0,13.81,0,0,0,0,0,0
 96-106,0,0,0,0,5.46,2.19,0,0,0,1.09,0,2.19,1.09,0,0,0,1.09,0,1.09,1.09,0,0,0,0,0,0,13.11,0,0,0,0,0,0
108-118,0,0,0.77,0,12.26,1.53,0.77,1.53,0,2.3,0,1.53,3.06,0,0,0,0.77,0,0,1.53,0.77,2.3,0,3.06,1.53,0,7.66,0,0.77,0,0,0,0
120,0,0,0,0,17.64,0,0,0,1.96,0,0,1.96,3.92,0,1.96,0,0,0,0,0,0,0,0,1.96,1.96,0,15.68,0,1.96,0,0,1.96,0
