stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,12.26,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,2.63,0,0,144.58,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,248.61,0,0,3.15,3.15,0,0,12.59,0,0,0,0
 14-21,0,2,0,0,2,0,0,0,0,0,0,1,0,3,0,5,0,0,0,0,0,0,2,12,0,0,0,1,0,0,0,57,0,2,52,6,0,0,0
 24-34,0,3.28,0,0,1.64,0,0,0,0,0,0,0,0,2.46,0,9.85,0,0,0,2.46,0,0,0,9.85,0,0.82,0,0,0,0,0,0.82,0,0,7.39,0,0,0,0
 36-46,0,0,0,0,0.81,0,3.22,0,0,0.81,0,0,0,0.81,0,1.61,0,0,0,0,0,0,0,8.06,0,0.81,0,0,0,0.81,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,0.57,0.57,0.57,0,14.35,0,0,0,1.72,0,0.57,0.57,0,1.15,0,0,0,0.57,0,0,0,5.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,126.62,0,0,0,9.82,0,0,0,0,0,0,0,0.98,0.98,0,1.96,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,3.93,0,2.94,0,0,293.52,0.98,0,0.98,40.25,0,0,0.98,0.98,0,0,0.98,0,6.87,0,0,1.96,19.63,0.98,0,0,0,0.98,0.98,0,0,0,0,0,0.98,0,0,0.98
 84-94,0,0,0,3.19,0,0,214.53,0,2.12,0,30.8,0,0,0,0,0,1.06,0,0,4.25,0,0,1.06,12.74,0,0,1.06,0,0,0,0,0,0,0,0,1.06,1.06,1.06,0
 96-106,0,1.09,0,4.37,4.37,1.09,309.28,2.19,0,0,31.69,3.28,0,1.09,1.09,3.28,1.09,0,0,5.46,0,1.09,0,28.41,0,0,1.09,0,0,2.19,0,0,1.09,0,0,3.28,5.46,1.09,0
108-118,0,1.53,0,0.77,0.77,0,219.07,0.77,0.77,1.53,42.89,2.3,0,0,0.77,2.3,0,0,0,3.83,0.77,0,0.77,20.68,0,0,0,0,0,0.77,0,0,0,0,0,0,6.13,0,0.77
120,0,3.92,0,5.88,0,0,174.42,0,0,0,43.12,0,0,1.96,0,0,0,0,0,3.92,1.96,0,0,45.08,1.96,1.96,0,0,0,0,0,0,0,0,0,0,3.92,0,0
