stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,2,2,0,0,0,0,0
 24-34,0,1.64,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.71,0,0,1.64,0.82,0,0,0,9.85,0,0,0,0,0
 36-46,0,0.81,0,0,2.42,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0.81,131.32,1.61,0,0.81,0,0,0,0,15.31,0,0,0,0,0.81
 48-58,0,2.3,0.57,0,83.78,0.57,0,2.87,0,0,0.57,0,0,0,0,1.15,0,0,0.57,302.4,0,0,0,0.57,0.57,0,0,22.38,0,0,0,0,0
 60-70,0,3.93,0,0,487.82,0.98,0.98,3.93,0,1.96,0,0.98,0.98,0.98,0,10.8,0,0,0,642.9,0,0,2.94,0.98,0,0,0,31.41,0,0,0,0,0
 72-82,0,7.85,0.98,0,709.74,0.98,0,28.47,0.98,0,0,0.98,0.98,0,0,24.54,0,0.98,0.98,837.36,0,0,2.94,0.98,0.98,0,0,27.49,0.98,0,0.98,0,0
 84-94,0,7.43,0,0,370.65,0,0,23.36,1.06,1.06,0,2.12,2.12,0,0,7.43,0,1.06,0,381.27,0,1.06,2.12,2.12,0,0,0,15.93,0,1.06,2.12,1.06,0
 96-106,1.09,6.56,1.09,0,266.65,0,0,16.39,0,1.09,0,0,2.19,0,0,9.84,0,0,0,324.58,0,0,5.46,5.46,0,0,0,7.65,1.09,0,3.28,0,0
108-118,0,6.89,0,0,212.17,0,0.77,12.26,0.77,0.77,0,0,3.06,0,0,7.66,0.77,0,0,346.98,0,0.77,3.83,5.36,0,0,0,0.77,1.53,0,2.3,0,0
120,0,7.84,0,1.96,201.86,0,0,3.92,0,0,0,1.96,0,0,1.96,3.92,0,0,0,386.08,0,0,9.8,1.96,0,0,0,5.88,1.96,0,1.96,0,0
