stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0
 24-34,0.82,2.46,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0.82,0,0,0,52.53,0,4.1,0,0,1.64,26.27,0,0,0,0,5.75
 36-46,0.81,0,0,0,2.42,0,0,0,4.03,0,0.81,0,0,0,0.81,0,0,0,0.81,0,0,0,244.92,0,4.83,0,0,0.81,63.65,0,0,0,0,2.42
 48-58,0,0.57,0.57,0,28.12,0,0.57,0,26.4,0,0,0,0,0,0,0,0,2.3,13.2,0.57,0,0,488.31,0,5.16,0,0,2.3,78.04,0,0,0,0,4.59
 60-70,0,3.93,0,0,106,0.98,0.98,1.96,34.35,0.98,0,0.98,0.98,0,0,0,0,0.98,27.48,0,0.98,1.96,930.48,0,5.89,0,0,1.96,169.8,0,1.96,0,0,5.89
 72-82,0,4.91,0.98,0,188.48,0,0,0,64.79,0.98,0,0.98,0.98,0.98,1.96,0,0,2.94,82.46,0,0.98,3.93,1068.05,0,5.89,0,1.96,0.98,115.84,0,1.96,1.96,0,3.93
 84-94,0,5.31,3.19,0,147.62,0,0,1.06,35.05,1.06,0,2.12,1.06,0,0,0,0,5.31,38.23,0,1.06,0,463.05,0,2.12,2.12,2.12,2.12,70.09,1.06,0,1.06,2.12,1.06
 96-106,2.19,14.21,1.09,0,108.19,1.09,1.09,1.09,48.09,3.28,0,1.09,0,1.09,2.19,2.19,2.19,1.09,50.27,0,0,0,441.51,0,2.19,1.09,0,9.84,39.34,1.09,1.09,2.19,4.37,1.09
108-118,0,8.43,2.3,1.53,89.62,0,0,0.77,30.64,0,0,0.77,0.77,0,0,0,0,3.06,42.13,0,0.77,1.53,504,0.77,3.06,0,0,1.53,25.28,0.77,0.77,1.53,1.53,1.53
120,3.92,11.76,1.96,0,109.75,0,3.92,0,29.4,1.96,0,0,1.96,0,0,0,1.96,1.96,33.32,0,1.96,7.84,642.81,0,5.88,1.96,0,3.92,52.91,0,0,1.96,0,1.96
