stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,glial,gut,heart,immune,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,periderm,pronephros,slow.muscle,spinal.cord,visceral.smooth.muscle
 14-21,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,1,0,0
 24-34,0,0,0,0,4.93,0,0,0,0,0,0,0,0,0,0,0,0,20.52,0,0,0,0.82,0
 36-46,0,0,0,0,4.83,0,0,0,0.81,0,0,0,0,0,0,1.61,0.81,12.89,0,0,0,0,0
 48-58,0,0,0,0,4.02,0,0,0,0,0,0,0,0.57,0.57,0,0,0,5.16,0,0,0,0,0
 60-70,0,0,0,0,103.06,0,0,0,0,0,0,0,0,0,0,1.96,0,3.93,0,0,0,0,0
 72-82,0,1.96,0,0,525.19,0,0.98,0,0,0,0,0,3.93,0,0,3.93,0,5.89,0,0,0,0,0.98
 84-94,1.06,4.25,0,0,601.11,0,0,1.06,0,0,2.12,0,1.06,0,0,5.31,0,9.56,1.06,0,0,1.06,1.06
 96-106,0,0,2.19,0,419.65,1.09,1.09,0,0,1.09,2.19,1.09,1.09,0,0,6.56,0,21.86,0,0,2.19,1.09,0
108-118,0,0.77,0.77,0.77,281.87,0,0,0,0,0,1.53,0,1.53,0,0.77,4.6,0.77,13.79,1.53,0,0,0.77,0
120,0,3.92,0,1.96,248.89,0,1.96,0,0,0,0,0,0,0,0,3.92,0,21.56,1.96,0,0,1.96,0
