stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,15.73,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,1,0,9,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,52,9,6,1,0,0,0,0,17,0,0,68,0,0,0,0,0
 24-34,0,0,0.82,6.57,0,0,6.57,0,0,0,3.28,0,0,0,0,23.8,0,0,0,0,4.1,0.82,0,0,458.04,4.1,49.25,1.64,0,0,0.82,0,6.57,0,0.82,197.83,0,0,0.82,0,0
 36-46,0,0.81,0,2.42,0.81,0,24.98,0,0,0,19.34,0.81,0,0,0,2.42,0,0,0,0,4.03,0.81,0,0,1153.72,4.03,42.7,0.81,0,0,0,0,4.03,0,0,298.9,0,0,2.42,0,0.81
 48-58,0,0.57,0,5.16,0,0,85.5,0,0.57,0.57,61.4,0.57,0.57,0.57,0,0.57,0.57,0,0.57,0,12.05,0,0,1.15,1518.86,0.57,29.84,0.57,0.57,0,2.87,0,0,0,0,285.75,0,0,3.44,0,1.15
 60-70,0,0,0,5.89,1.96,0,156.06,0,0.98,0,68.71,0,0.98,1.96,0.98,0.98,0,0,0,0,12.76,0,0,0.98,2065.12,0,33.37,1.96,0,0,1.96,0,2.94,0,0,204.16,0,0.98,3.93,0,0.98
 72-82,0,3.93,0,8.83,3.93,0,290.57,0.98,0,0.98,113.87,1.96,0,0.98,1.96,0.98,1.96,0,0.98,0,40.25,0,0,1.96,2140.02,0,53.99,0.98,0,1.96,0,0,2.94,0.98,0,176.7,0.98,2.94,12.76,0,5.89
 84-94,0,2.12,0,11.68,3.19,1.06,226.21,1.06,1.06,0,73.28,2.12,1.06,0,2.12,5.31,1.06,0,0,0,21.24,0,2.12,2.12,1154.43,1.06,38.23,1.06,0,1.06,5.31,1.06,1.06,0,0,84.96,1.06,2.12,11.68,0,2.12
 96-106,0,2.19,0,15.3,1.09,0,177.04,1.09,2.19,2.19,71.04,0,0,1.09,3.28,7.65,1.09,1.09,3.28,1.09,26.23,0,1.09,1.09,975.91,0,59.01,1.09,0,2.19,4.37,0,3.28,0,0,55.74,0,1.09,16.39,1.09,1.09
108-118,0,2.3,0,13.02,1.53,0,140.94,0.77,0,0.77,47.49,0.77,0,0,0,3.83,0.77,0,0,0,17.62,0,0.77,1.53,1257.71,0,38.3,1.53,0,1.53,0.77,0.77,0.77,0,0,36,1.53,0,12.26,1.53,0
120,0,0,0,9.8,0,0,96.03,0,3.92,0,48.99,3.92,0,1.96,1.96,3.92,0,1.96,0,0,19.6,0,0,1.96,1195.47,3.92,13.72,0,0,1.96,5.88,0,1.96,0,0,47.03,0,0,11.76,1.96,0
