stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,glial,hatching.gland,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,105.15,2.63,0,0,28.92,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,18.88,0,3.15,0,0,0,0,0,0,0,69.23,0,0,0,37.76,0,0,0,0,0,0
 14-21,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,8,0,0,0,0,0,0,3,0,0,0
 24-34,0,0,0,1.64,0,2.46,1.64,0,0,0,0,0,1.64,0,1.64,23.8,0,0,1.64,0,3.28,0.82,6.57,0,0,0.82
 36-46,0,0,0,0,0,7.25,0.81,0,0,0,0,0.81,0,0,0,14.5,0,0.81,0,0,0.81,0,2.42,0,0,0
 48-58,0,0,0,0,0,9.18,1.15,0,0,0.57,0,0,2.87,0.57,0,6.31,0.57,0,0,0,0,0,1.15,0,0,2.3
 60-70,0,0,0.98,0,0,2.94,0,0,0,0,0,0,2.94,0,0.98,0.98,0,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,0,1.96,1.96,0,0,0,0,0,1.96,0,0,3.93,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,0,0,2.12,0,0,0,0,0,1.06,0,0,2.12,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,1.09,0,1.09,0,0,0,1.09,0,0,4.37,0,0,0,0,0,0,0,0,0,3.28
108-118,0,0,0,0,0.77,0,0,0,0,0,0.77,0,1.53,0,0,0.77,0,0,0,0,0,0,0,0,0,1.53
120,0,0,0,0,0,3.92,1.96,0,0,0,0,0,1.96,0,0,5.88,0,0,0,0,0,0,0,0,1.96,1.96
