stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,122.59,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,18.39,6.13,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,26.29,2.63,0,7.89,0,0,0,2.63,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,65.72,7.89,0,0,168.24,2.63,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.38,0,0,0,47.2,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,3,10,5,0,4,0,0,0,2,1,0,0,0,0,0,0,0,0,11,0,11,62,3,0,0,4,0,0,21,1,3,35,26,0,0,2,0,0
 24-34,0,0.82,0,0,4.1,0,0,9.03,0.82,0.82,0,1.64,0.82,0,0,0,0,0,0,1.64,0,17.24,0,7.39,218.35,0,4.1,3.28,0,1.64,0,0.82,0.82,1.64,3.28,50.07,0,0,4.93,0,0
 36-46,0,0,0,0,1.61,0,0,16.11,0.81,0,0,8.06,0,0,0,0.81,0,0,0,0,0,18.53,0,4.83,459.23,0.81,2.42,0.81,0,0,0,0,0,0,0,87.01,0,0,6.45,0,0
 48-58,0,0,0,0,2.3,0.57,0,79.19,0.57,0.57,0.57,15.49,0,0,0.57,1.72,0,0,0,0,2.3,25.25,0,5.74,491.18,0,3.44,0,0,0.57,0,0,0,0,0,83.2,0,0,1.15,0,0.57
 60-70,0,0,0,0,1.96,0.98,0,109.93,0,0,0.98,21.59,0,0,0,2.94,0,0,0,0,0,23.56,1.96,5.89,626.21,0,1.96,0.98,0,0.98,0,0,0,0.98,0,77.54,0,0,1.96,0,0
 72-82,0,0,0,0,4.91,0.98,0,100.13,0.98,0,0,21.6,0.98,0,0.98,4.91,0,0,0,0,0,27.49,1.96,2.94,479.05,0,2.94,0,0,0.98,0,0,0.98,0,0,26.5,0,0,0.98,0,0
 84-94,0,0,1.06,0,3.19,1.06,0,58.41,2.12,0,0,14.87,0,0,0,7.43,1.06,1.06,1.06,0,2.12,10.62,1.06,1.06,212.41,0,2.12,0,0,2.12,0,0,0,0,0,14.87,0,1.06,5.31,3.19,2.12
 96-106,0,0,0,0,3.28,3.28,1.09,53.55,0,0,0,7.65,1.09,0,1.09,6.56,0,1.09,0,0,0,15.3,3.28,7.65,197.81,0,0,3.28,0,1.09,0,0,1.09,0,0,7.65,1.09,0,2.19,0,1.09
108-118,0,0,0,0,1.53,0,0,46.72,2.3,0,0,9.19,1.53,0,0,6.13,0,0,0,0,0.77,9.96,0,5.36,264.26,0,3.83,3.06,0,0,0,0,0,0,0,3.06,0,0,3.06,0,0
120,0,0,0,0,1.96,0,0,50.95,1.96,1.96,0,5.88,0,0,0,9.8,0,0,0,0,0,7.84,0,1.96,217.54,0,0,0,0,0,0,0,0,0,0,7.84,1.96,0,1.96,0,0
