stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,0,1,0,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,1,0,0,3,1,1,2,7,0,0,0,0,0
 24-34,0,0,0,0,0,4.1,0,0,0,2.46,0,0,0.82,3.28,0.82,0,2.46,0,0,0,0.82,0,0,9.85,0,8.21,0.82,0,0,0.82,0,2.46,0,6.57,0,0,0.82,0,0
 36-46,0,0,0,0,0,236.87,0,0,0,4.03,0.81,0,0,0.81,0,0,1.61,0.81,0,1.61,0,0.81,1.61,20.14,0,3.22,0.81,0,0,0.81,0,0.81,0,6.45,0,0,0,0,0.81
 48-58,0,0.57,3.44,0,0,905.46,0,0,1.15,7.46,0,0,0.57,4.02,0,0,1.15,0,0,7.46,0.57,0,1.15,52.22,0.57,2.87,0,0,1.15,1.72,0,1.15,0,10.33,0,0,1.15,0,0.57
 60-70,0,0,0.98,0,0,1109.12,0,0,0,1.96,0,0,1.96,6.87,0.98,0,0,0,0.98,7.85,0,0,1.96,52.02,0,2.94,0,0,0.98,0.98,0,0,0,11.78,0.98,0,0.98,0,0.98
 72-82,0,0,3.93,1.96,0,547.77,0.98,0,0,8.83,0.98,0,0.98,7.85,0.98,0,3.93,0,0,9.82,0,0.98,0.98,38.28,0,1.96,2.94,0,0.98,1.96,0,0.98,0,3.93,3.93,1.96,3.93,0,0.98
 84-94,0,3.19,3.19,2.12,0,511.9,1.06,0,1.06,10.62,3.19,0,0,15.93,1.06,2.12,1.06,0,0,10.62,0,3.19,1.06,27.61,0,5.31,0,0,0,2.12,0,2.12,0,4.25,4.25,0,2.12,0,1.06
 96-106,0,2.19,1.09,4.37,0,264.47,0,0,0,4.37,1.09,0,3.28,29.51,0,0,3.28,0,0,6.56,0,2.19,2.19,25.14,0,6.56,0,0,0,2.19,0,2.19,0,3.28,7.65,1.09,2.19,0,0
108-118,0,1.53,4.6,0.77,0.77,227.49,0,0,0,2.3,1.53,0,0,17.62,0.77,0,0.77,0.77,0,3.06,0,0,0,36,0,3.83,0,0,0,1.53,0,2.3,0,0.77,6.89,0,0.77,0.77,0
120,0,0,3.92,0,0,164.62,0,1.96,0,0,0,0,0,11.76,0,0,1.96,0,0,5.88,0,0,0,23.52,0,0,1.96,0,0,0,0,3.92,0,0,5.88,0,5.88,0,0
