stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,slow_muscle,spinal_cord,vasculature
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0
 24-34,0,0,0,1.64,0,0,0.82,0,0,0,0.82,0,0,18.88,0.82,0,0,0,7.39,0.82
 36-46,0,0,0,0,0,1.61,0.81,0,0,0,1.61,0,0,34.64,0,0,0.81,0,3.22,0
 48-58,0,0,0,1.15,0,8.61,0.57,0,0,0,1.72,0,0,45.9,0.57,0,0,0,5.74,0
 60-70,0,0,0,0,0,14.72,0,0,0,0,0,0,0,40.24,0,0,0,0,0.98,0
 72-82,0,0,0,0,0.98,23.56,2.94,0,0,0.98,1.96,0,0.98,46.14,0,0,0,0,1.96,0
 84-94,0,0,0,2.12,0,18.05,1.06,0,0,0,1.06,0,0,13.81,0,1.06,1.06,0,1.06,1.06
 96-106,0,0,0,0,0,7.65,6.56,0,0,0,3.28,0,0,10.93,0,0,0,1.09,0,0
108-118,0,0,0,1.53,0,10.72,1.53,0,0.77,0,1.53,0,0,20.68,0.77,0,0,0,0,0.77
120,0,0,0,1.96,1.96,13.72,3.92,1.96,0,0,3.92,1.96,3.92,35.28,0,0,0,0,1.96,1.96
