stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,471.98,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,12.26,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,42.06,0,49.95,0,0,13.14,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,2118.74,5.26,0,0,394.31,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,81.82,0,122.73,0,12.59,22.03,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,2032.94,12.59,0,0,409.11,0,0,3.15,3.15,94.41,0,6.29,6.29,0,0,0,0,0
 14-21,0,0,0,1,182,13,8,0,1,0,3,18,0,0,0,0,0,0,0,0,96,0,0,45,901,1,0,3,43,0,1,0,53,1,3,17,144,0,0,1,0,1
 24-34,0.82,0,0,0.82,158.43,0.82,27.91,0,32.83,6.57,61.56,8.21,1.64,9.85,0,0,0.82,0.82,1.64,2.46,191.26,0.82,0.82,39.4,1612.16,0.82,1.64,4.93,0,0,4.93,0,0,0.82,0,20.52,337.37,0,0,4.93,0,29.55
 36-46,0,0,0,0,53.17,0,19.34,0,9.67,37.06,97.49,4.03,0,4.83,0,0,0,3.22,0,1.61,248.95,0,1.61,27.39,911.21,0.81,0.81,7.25,0,0,1.61,0,0.81,0,0.81,0,336.77,0,0,2.42,0,41.09
 48-58,0,0.57,0,0,31.56,0,33.28,1.15,11.48,59.1,147.47,0.57,0.57,4.02,0.57,0.57,0.57,1.72,0,1.72,322.48,1.15,3.44,20.66,316.17,0,1.15,14.92,0,0.57,1.15,0,0,0,0,0,156.07,0,0.57,4.02,0,43.61
 60-70,0,0,0,0,21.59,0,18.65,0,6.87,71.65,87.36,4.91,0,1.96,0,0.98,0.98,2.94,0,2.94,307.22,0,2.94,4.91,94.23,0,0,6.87,0,2.94,0.98,0,0,0.98,0,0,27.48,0.98,0.98,0.98,0,19.63
 72-82,0,0,1.96,0,13.74,1.96,24.54,0.98,4.91,87.37,128.6,0.98,0,6.87,1.96,6.87,2.94,2.94,0,1.96,421.13,0.98,5.89,11.78,87.37,0,0,10.8,0,3.93,0.98,0,0,0,0,0,11.78,0,6.87,3.93,0,22.58
 84-94,0,0,0,0,23.36,1.06,42.48,0,8.5,65.85,69.03,5.31,0,2.12,1.06,0,3.19,1.06,0,0,257.01,2.12,8.5,6.37,46.73,0,0,15.93,0,2.12,4.25,1.06,0,0,0,0,8.5,0,7.43,2.12,2.12,23.36
 96-106,0,0,0,0,26.23,0,34.97,0,6.56,44.81,80.87,0,0,6.56,0,1.09,2.19,1.09,1.09,0,339.88,0,2.19,7.65,52.46,1.09,0,19.67,0,3.28,0,0,0,0,0,0,2.19,0,2.19,4.37,3.28,25.14
108-118,0,0,0,0,14.55,0.77,19.15,0.77,13.02,36,55.15,0.77,0,0,0.77,1.53,7.66,0,0,2.3,226.73,0.77,2.3,5.36,44.43,0,0,22.21,0,6.13,1.53,0,0,0,0,0,2.3,0,1.53,3.06,0,32.94
120,0,0,0,0,7.84,1.96,17.64,0,11.76,27.44,66.63,1.96,0,3.92,7.84,1.96,1.96,1.96,0,0,284.17,0,1.96,5.88,64.67,0,0,19.6,0,1.96,1.96,0,0,0,0,0,0,0,1.96,1.96,0,15.68
