stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,pericytes,periderm,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,0,0.82,0,0,0,0,0,0,26.27,0,2.46,0,0,0,2.46,0,0,0,0
 36-46,0,0.81,0,0,0.81,0,0,0.81,0,0,0,0,0.81,0,0.81,42.7,0,2.42,0,0,0,3.22,0,0,0,0
 48-58,0,0,0,0,2.87,0.57,0,0,0,0,0,0,1.15,0,0.57,28.12,0,0,0,0,0.57,2.3,0,0,0,0
 60-70,0,0,0,0,2.94,0,0,0,0,0,0,0,1.96,0,0,17.67,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,1.96,0,0,11.78,0,0.98,2.94,0,0.98,0,0,1.96,0,1.96,37.3,0,0,0.98,3.93,0,0.98,0.98,0,0.98,0.98
 84-94,1.06,0,2.12,0,3.19,0,0,0,0,0,0,0,3.19,1.06,0,8.5,0,0,0,0,0,0,0,0,0,0
 96-106,1.09,3.28,1.09,0,10.93,0,0,3.28,0,1.09,1.09,1.09,4.37,0,1.09,26.23,0,0,0,0,0,3.28,0,1.09,0,0
108-118,0,0,0,0,0.77,0,0,1.53,0,0,0,0,1.53,0,0,21.45,0.77,0,0.77,0.77,0,0,0,0,0.77,0.77
120,0,1.96,0,1.96,3.92,0,0,3.92,0,0,0,0,1.96,0,0,39.2,0,0,0,1.96,0,0,0,0,0,0
