stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,21.03,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,1,0,0,0,0,0,3,0,7,7,0,2,0,0
 24-34,0,0,1.64,0,0,0,0.82,0,0,0,0,0,0,0,0,0.82,4.1,0,1.64,9.03,0.82,0,0,0,0,0,0,0,0,0.82,0,2.46,0,0
 36-46,0,0,2.42,0,4.83,0,0,1.61,0,0,0.81,0,0.81,0,0.81,0,6.45,0.81,0.81,15.31,0.81,1.61,0,0,0,0,0,0,0,3.22,0,1.61,0,0
 48-58,0,0,0,0,12.62,0,0,1.15,0,0.57,2.3,0,0,0,0.57,0,7.46,0,1.15,25.25,0,0,0.57,0,0,0,0,0,0,2.87,0,1.15,0,0
 60-70,0,0,0.98,0.98,24.54,0,0,8.83,0,0,1.96,0,0,0.98,0,0.98,13.74,0,4.91,59.87,0,0,0,0,0,0,0,0,0,9.82,0.98,2.94,0,0
 72-82,0,0,1.96,0.98,25.52,0,0,14.72,0.98,0,1.96,0,0,0.98,0.98,0,39.27,0.98,3.93,80.5,0,0.98,0.98,0,0,0,0,0,0,4.91,0.98,6.87,2.94,0
 84-94,0,0,4.25,0,13.81,1.06,1.06,11.68,1.06,1.06,3.19,1.06,1.06,2.12,1.06,0,23.36,1.06,1.06,31.86,0,0,1.06,0,0,0,0,0,0,2.12,0,5.31,1.06,0
 96-106,0,0,7.65,1.09,15.3,0,0,9.84,0,0,3.28,3.28,0,1.09,0,0,14.21,0,2.19,37.16,0,0,0,0,1.09,0,0,0,0,2.19,2.19,10.93,2.19,0
108-118,0,0,3.06,0.77,8.43,0,0.77,7.66,0.77,0,0.77,1.53,2.3,0.77,0,0,22.98,0.77,1.53,32.17,0,0.77,0,0,0.77,0,0,0,0,2.3,3.06,6.13,0,1.53
120,0,0,0,3.92,5.88,0,1.96,5.88,0,0,0,0,0,0,1.96,0,13.72,0,1.96,23.52,0,0,1.96,0,1.96,0,0,0,0,1.96,0,1.96,0,1.96
