stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,26.36,658.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,251.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,21.03,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,78.86,2.63,0,0,23.66,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,15.73,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,198.26,12.59,0,0,66.09,0,3.15,0,12.59,0,0,3.15,0,0,0,0
 14-21,0,0,0,8,2,1,0,0,0,57,1,0,0,0,0,0,1,4,4,48,0,2,13,3,0,0,5,55,0,3,159,0,0,0,0
 24-34,0,0,0,1.64,0,5.75,0,0,0,27.09,0,0,0,0,0.82,0,0,4.1,1.64,44.33,2.46,13.13,3.28,0,0,0,0,11.49,0,4.93,56.64,0,0,2.46,0
 36-46,0,0,0,0.81,0,15.31,0,0,0.81,16.11,0,0,0,1.61,0,0,0,2.42,3.22,45.12,0,16.11,0,0,0,0,0,5.64,0.81,0,44.31,0,0,0.81,0
 48-58,0,0,0,0.57,0,17.21,0,0,0.57,13.2,0,0,0,0,0,1.15,0.57,5.74,0,25.25,0,9.75,1.15,0,0,0,0,2.87,0,0,25.25,0,0.57,0.57,0.57
 60-70,0,0,0,0.98,0.98,19.63,0,0,0,28.46,0,0,0.98,0,2.94,0,0,9.82,0,34.35,0,11.78,4.91,0,0,0,0,0,0,0,17.67,0,0,0,0
 72-82,0,0,0,0,0,17.67,0,0,0,18.65,0,0,0,0,1.96,0,0,5.89,0,27.49,0,20.61,3.93,0,0,0,0,1.96,0,0,11.78,0,0,0,0.98
 84-94,0,0,0,1.06,0,16.99,0,0,1.06,15.93,0,0,0,3.19,2.12,0,0,10.62,0,25.49,0,14.87,11.68,0,0,0,0,2.12,0,0,15.93,0,1.06,1.06,0
 96-106,0,0,0,1.09,2.19,7.65,0,0,0,13.11,1.09,2.19,0,0,9.84,0,0,3.28,1.09,10.93,0,28.41,6.56,0,0,0,0,2.19,0,0,7.65,0,0,0,1.09
108-118,0,0,0,0.77,0,13.79,0.77,0.77,0,9.19,0,0,0.77,0,3.83,0,0,6.89,0,12.26,0,19.92,6.13,0,0.77,0,0,3.06,0,0,9.19,0.77,0,0,0.77
120,0,0,0,0,0,5.88,0,0,0,0,3.92,0,0,0,1.96,0,0,1.96,0,11.76,0,5.88,3.92,0,0,0,0,1.96,0,0,3.92,0,0,0,0
