stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,0,0,2,0,0,0,0,20,2,0,0,0,0
 24-34,0,0,0,0,0.82,0,0.82,0,0,0,0,0,0,0,63.21,0.82,0.82,0,0.82,0,15.6,0,0,9.85,0,0,0,2.46,30.37,0.82,0,0.82,0,0
 36-46,0,0,0,0,4.03,0,3.22,0,0,0,0,0,0,0,24.17,0,0,0,0,1.61,31.42,0,0,11.28,0,0.81,0,0.81,14.5,0,0,0,0,0
 48-58,0,0,0,0,2.87,0.57,5.16,0,0,0,0.57,0.57,0,0,13.77,0,0,0,0,0.57,33.28,0,0,10.33,0,0,0,0.57,12.05,0.57,0,0,0,0.57
 60-70,0,0,0.98,0,7.85,0,7.85,0,1.96,0,0.98,0,0,0,32.39,0,0,0,0.98,2.94,26.5,0,0,9.82,0,0,0,1.96,14.72,0.98,0,0.98,0,0
 72-82,0,0,9.82,1.96,1.96,0,4.91,0,1.96,0.98,2.94,15.71,0,0,73.62,0,0,0.98,0,7.85,58.9,0,1.96,7.85,0,0.98,0,0.98,15.71,1.96,0,0.98,0,0
 84-94,0,0,8.5,7.43,25.49,1.06,7.43,0,0,0,2.12,30.8,0,1.06,120.01,0,1.06,1.06,0,3.19,56.29,0,0,4.25,0,0,0,2.12,48.85,1.06,0,0,0,0
 96-106,0,0,13.11,15.3,52.46,4.37,5.46,1.09,1.09,1.09,3.28,54.64,0,1.09,181.41,0,1.09,1.09,0,7.65,83.06,1.09,2.19,38.25,0,0,1.09,6.56,40.44,1.09,0,2.19,1.09,1.09
108-118,0,0,7.66,20.68,49.02,1.53,6.13,0,0,1.53,1.53,62.04,0,5.36,164.68,0,0.77,3.06,0,0.77,40.6,0,0.77,12.26,0.77,0,1.53,2.3,35.23,0,0.77,0,0,0
120,0,0,3.92,7.84,52.91,1.96,1.96,0,1.96,0,1.96,35.28,0,5.88,97.99,0,1.96,5.88,0,3.92,27.44,0,0,9.8,0,0,0,1.96,27.44,0,0,1.96,0,0
