stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,830.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,85.81,698.78,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,34.17,0,42.06,0,0,0,144.58,0,0,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,778.1,13.14,0,0,247.1,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,28.32,0,81.82,0,6.29,0,236.02,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,1394.11,28.32,0,0,421.69,0,0,9.44,0,34.62,0,3.15,0,0,0,0,0
 14-21,0,0,1,4,91,20,0,79,0,0,91,2,0,2,0,0,0,1,1,0,63,0,0,34,737,4,2,52,29,0,1,7,115,98,75,437,0,0,1,0,0
 24-34,0,0,0,4.1,27.91,0.82,0,65.67,0.82,0,78.8,0.82,0.82,0.82,0,0,0,8.21,2.46,0,65.67,0,0.82,29.55,416.17,2.46,9.85,36.12,0,0,2.46,0,1.64,64.85,14.78,269.24,0,0,9.85,0,0
 36-46,0,0,0,0.81,9.67,1.61,0,69.29,0,1.61,60.43,1.61,0,0.81,0,0,0,1.61,1.61,0.81,57.2,0,0.81,12.89,238.48,0,12.09,21.75,0,0,0.81,0.81,0,29,0,140.99,0,0,3.22,0,0.81
 48-58,0,0,0,0,5.16,0,0,94.1,0,1.15,78.04,0.57,0,0,0,0.57,0.57,4.59,0,0,83.78,0,2.3,12.62,126.24,0,14.92,16.07,0,0.57,1.15,1.15,0,13.2,0,102.14,0,0,0.57,0,0
 60-70,0,0,0.98,0,12.76,0,0,140.36,0,3.93,89.32,4.91,0,0,0.98,0.98,0,6.87,0,0,77.54,0.98,3.93,6.87,80.48,0,16.69,26.5,0,0,2.94,0,0,11.78,0,71.65,0,2.94,0,0,0
 72-82,0,0,5.89,0,5.89,0,0,95.22,0,1.96,99.15,5.89,0,0.98,0,0,0,17.67,0,0,81.48,0,0,8.83,58.9,0,27.49,47.12,0,0.98,2.94,0,0,14.72,0,22.58,0,1.96,0.98,1.96,0.98
 84-94,0,0,9.56,1.06,16.99,0,0,90.27,1.06,4.25,52.04,8.5,0,1.06,1.06,3.19,0,15.93,0,0,55.23,1.06,4.25,5.31,46.73,0,25.49,59.47,0,0,3.19,0,0,36.11,0,21.24,0,1.06,3.19,1.06,1.06
 96-106,0,0,3.28,2.19,13.11,0,1.09,41.53,1.09,2.19,38.25,8.74,0,0,1.09,2.19,1.09,33.88,0,0,44.81,1.09,2.19,7.65,46.99,1.09,39.34,71.04,0,0,4.37,1.09,0,37.16,0,14.21,2.19,0,1.09,3.28,0
108-118,0,0,2.3,5.36,16.85,1.53,1.53,37.53,0.77,5.36,49.79,3.83,0,0,0,2.3,0,17.62,0.77,0,43.66,0.77,0,6.89,41.36,0,27.57,47.49,0,0,0.77,0,0,24.51,0,9.19,1.53,0,0.77,0,0
120,0,0,1.96,0,21.56,0,0,29.4,3.92,3.92,21.56,0,0,1.96,0,1.96,0,19.6,5.88,0,41.16,0,0,1.96,74.47,0,15.68,41.16,0,0,1.96,1.96,0,9.8,0,0,0,1.96,0,0,0
