stage,epidermis,eye,fin_epithelia,glial,iridophores,mesenchyme,mural_cell,neural,spinal_cord,taste,vascular_smooth_muscle,vasculature
 36-46,0,15.31,0,0,0,0,0,0,0,0,0,0
 48-58,0,65.41,0,0,0.57,0,0,9.75,0.57,0,0,0
 60-70,0,209.06,0,0.98,0,0,0,9.82,1.96,0,0,0
 72-82,1.96,252.29,0,12.76,0,5.89,0,21.6,0,0,0,0
 84-94,1.06,103.02,1.06,8.5,1.06,5.31,0,8.5,1.06,1.06,1.06,1.06
 96-106,1.09,52.46,0,2.19,1.09,0,0,5.46,0,0,1.09,0
108-118,0,55.92,0,0.77,0,0.77,0.77,0.77,0,0,0,0.77
120,1.96,66.63,0,7.84,0,7.84,0,7.84,0,0,0,0
