stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,12.26,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,6.29,0,0,6.29,0,0,0,0,0
 14-21,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,8,118,0,0,1,0,4,0,198,90,8,0,0
 24-34,0,0,0,11.49,0,8.21,9.03,0.82,0,2.46,0,0,0,0,46.79,0,0,41.86,337.37,0.82,0.82,0,1.64,0,0,68.13,73.88,16.42,0.82,0.82
 36-46,0,0,0,14.5,0,1.61,15.31,2.42,2.42,0.81,0,0,0,0,124.88,0,0,10.47,318.24,0,0,0,0.81,0.81,0.81,25.78,5.64,9.67,0.81,0.81
 48-58,0,0.57,0,13.2,0,8.03,1.72,9.75,1.15,4.02,0,0.57,0,0,118.78,0,0.57,8.03,226.65,0,0,0,0,0,0,3.44,0,8.61,0.57,0
 60-70,0,0,0,10.8,0,9.82,1.96,2.94,0.98,4.91,0,0,0,0,83.43,0,0,4.91,134.47,0,0,0,0.98,0,0,0,0,7.85,0,0
 72-82,0,0,0,4.91,0.98,22.58,0,6.87,0,13.74,0.98,0,0,0,111.91,0,0,13.74,112.89,0.98,0,0,0.98,0,0,0,0,2.94,0,0
 84-94,0,0,0,18.05,0,24.43,2.12,15.93,1.06,13.81,0,1.06,1.06,0,112.58,1.06,0,18.05,80.71,0,0,0,1.06,0,0,2.12,0,1.06,0,0
 96-106,0,0,0,7.65,0,12.02,1.09,18.58,1.09,17.49,0,0,0,0,111.47,0,0,13.11,75.41,0,2.19,0,1.09,0,0,2.19,0,0,0,1.09
108-118,0,0,1.53,13.02,1.53,10.72,1.53,27.57,0,9.96,0,1.53,0,0.77,68.94,0,1.53,13.79,89.62,0,0,0,0,0,0,2.3,0,0.77,0,0
120,0,0,0,3.92,0,7.84,0,11.76,1.96,7.84,0,0,0,0,82.31,0,0,19.6,74.47,0,0,0,1.96,0,0,0,0,0,0,0
