stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,pericytes,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0
 24-34,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,12.31,0,0,0,0,4.93,0,0,0,0,0
 36-46,0,0,0,0.81,0,1.61,0,0,0,0,0,0,0,1.61,0,0.81,0,0,0.81,29,0,0,0,0,7.25,0,0,0,0,0
 48-58,0,0,0.57,0,0,7.46,0,2.87,0,0.57,0,0,0,1.72,1.15,1.72,0,0.57,0,36.15,0,0.57,0,0,11.48,0,0,0,0,0.57
 60-70,0,0,0.98,0,0,11.78,0,14.72,0,0.98,0,0,0.98,6.87,0.98,0.98,0,0.98,0,114.84,0,0,0,0,21.59,0,4.91,0.98,0,0
 72-82,0.98,0,0.98,0.98,1.96,37.3,0.98,22.58,0,0,0,0,0,10.8,0.98,3.93,0,1.96,0,89.33,0,0,0,0,6.87,0,10.8,0,0,0
 84-94,0,0,0,0,9.56,23.36,0,20.18,1.06,0,0,0,1.06,41.42,4.25,4.25,0,3.19,1.06,55.23,0,0,2.12,0,5.31,0,12.74,0,1.06,2.12
 96-106,0,0,1.09,1.09,7.65,27.32,0,24.04,1.09,0,0,1.09,1.09,65.57,3.28,1.09,1.09,4.37,0,67.76,0,0,0,0,1.09,0,13.11,1.09,4.37,3.28
108-118,0.77,0,2.3,1.53,4.6,33.7,0.77,28.34,0,0,1.53,0,1.53,140.17,9.96,3.06,0,6.89,0,77.36,0.77,0.77,0.77,0,1.53,1.53,4.6,0,3.06,2.3
120,0,0,0,0,0,25.48,1.96,25.48,0,0,0,0,0,41.16,5.88,1.96,0,5.88,1.96,84.27,0,0,0,0,3.92,0,0,1.96,0,0
