stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,1120.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,1054.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.91,6.13,0,0,6.13,0,24.52,0,0,0,0,0,0,0,0,0,0
  7-9,18.4,21.03,44.69,0,0,0,102.52,0,0,0,0,0,47.32,0,0,0,0,0,0,0,0,0,0,0,754.44,28.92,0,0,331.22,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,31.47,56.65,0,15.73,0,119.58,0,0,0,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0,953.53,22.03,0,0,368.2,0,0,3.15,31.47,0,6.29,0,0,0,0,0,0
 14-21,0,0,3,70,17,0,49,0,0,0,6,4,1,0,0,0,0,0,1,1,28,0,0,24,416,4,1,5,8,0,7,99,1,2,115,141,0,0,0,0,0
 24-34,0,0,4.1,20.52,0,0,64.85,0,0,0,8.21,2.46,0,0.82,0,1.64,0,4.1,0,0,41.86,0.82,0,14.78,354.61,2.46,2.46,2.46,0.82,0,10.67,0,0.82,0,13.95,74.7,0,0,3.28,0,0
 36-46,0,0,0,8.06,0.81,0,67.68,0.81,0,0,10.47,1.61,0,0,0,0,0,0,0,0,35.45,0,0,12.09,182.08,0.81,0,0.81,0,0,7.25,0,0,0.81,0,41.89,0,0,4.83,0,0.81
 48-58,0,0,0,3.44,0,0,68.86,0.57,0,1.15,19.51,0,0,1.15,1.72,0,0.57,1.15,0,0,40.17,0,2.3,10.33,104.43,0.57,0,1.15,0,0,2.3,0,0,0,0,22.38,0,0,3.44,0,0
 60-70,0,0,0,6.87,0,0,28.46,0,1.96,0,16.69,0.98,0,0,0,0,0.98,0,0.98,0,31.41,0,0,3.93,40.24,0.98,0.98,0.98,0,0,4.91,0,0,0.98,0,9.82,0,0,4.91,0,0
 72-82,0,0,0,6.87,1.96,0,52.03,0.98,0.98,3.93,40.25,5.89,0,1.96,1.96,0,0.98,5.89,0,0,73.62,0.98,1.96,11.78,97.18,1.96,0.98,0.98,0,0.98,10.8,0,0,0,0,12.76,0,1.96,5.89,2.94,0.98
 84-94,0,0,0,20.18,0,3.19,49.92,0,2.12,4.25,22.3,4.25,0,0,5.31,2.12,0,0,0,1.06,45.67,3.19,2.12,18.05,61.6,1.06,0,1.06,0,1.06,32.92,0,0,1.06,0,1.06,1.06,2.12,2.12,0,0
 96-106,0,0,0,18.58,1.09,1.09,40.44,0,1.09,1.09,30.6,2.19,0,3.28,8.74,1.09,1.09,4.37,3.28,0,69.94,1.09,4.37,20.76,52.46,0,1.09,2.19,0,1.09,24.04,0,1.09,0,0,6.56,0,0,6.56,2.19,2.19
108-118,0,0,0.77,34.47,1.53,1.53,36,0.77,3.83,4.6,42.89,3.06,0,0.77,10.72,3.83,0,0.77,1.53,0,81.96,0,3.06,33.7,94.21,2.3,3.83,3.06,0,2.3,35.23,0,0.77,0,0,9.19,1.53,1.53,11.49,1.53,3.06
120,0,0,0,23.52,1.96,0,41.16,0,1.96,5.88,41.16,1.96,0,0,9.8,0,1.96,0,0,0,54.87,0,1.96,19.6,84.27,3.92,0,1.96,0,1.96,21.56,0,0,0,0,0,1.96,1.96,7.84,3.92,0
