stage,epidermis,eye,glial,immune,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,somites,spinal.cord,vascular.smooth.muscle
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,2,1,0,0,1,0,0,11,0,1,2,3,0
 24-34,0.82,1.64,0,0,0.82,0,0,9.03,0,0,0.82,2.46,0
 36-46,0,4.03,0,0,1.61,0,1.61,16.11,0,0,0,4.83,0
 48-58,0,4.02,1.15,0,5.74,0.57,0.57,6.31,0,0,0,2.3,0
 60-70,0,2.94,0,0,1.96,0,0,7.85,0,0,0,0.98,0
 72-82,0,1.96,1.96,0,2.94,0,0,3.93,0,0,0,0.98,0
 84-94,2.12,2.12,1.06,0,1.06,0,1.06,3.19,0,0,0,1.06,0
 96-106,0,1.09,0,0,0,0,0,1.09,1.09,0,0,0,1.09
108-118,0.77,1.53,0,0,1.53,0,0,0.77,0.77,0,0,0,0
120,0,0,0,1.96,0,0,0,1.96,0,0,0,0,0
