stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,spinal.cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,22.03,0,0,6.29,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,1,0,7,0,0,0,2,0
 24-34,0,0,0,0,4.1,0,0,0,0,0,2.46,1.64,22.98,0,0,0,9.03,0
 36-46,0,0,0,0,2.42,0,0,0,0,0,0.81,0.81,27.39,0.81,0,0,8.06,0
 48-58,0,0,0,0,7.46,0,0,0,0,0,4.02,0.57,34.43,0,0.57,0,8.61,0
 60-70,0,0,0,0,31.41,0,0,3.93,0,0,0.98,0,114.84,0,0,0,5.89,0
 72-82,0,0.98,0,0,57.92,0,0,1.96,0,0,0.98,0.98,146.27,0.98,0,0,2.94,0.98
 84-94,0,0,1.06,0,54.16,0,0,3.19,1.06,0,3.19,0,69.03,0,0,0,1.06,0
 96-106,0,1.09,0,0,34.97,1.09,0,3.28,0,1.09,1.09,0,75.41,1.09,1.09,0,1.09,0
108-118,0,0,0,0,35.23,0.77,0.77,7.66,1.53,0,1.53,0,77.36,0,0,0,1.53,0.77
120,0,0,0,0,48.99,0,0,7.84,1.96,0,1.96,1.96,117.59,0,0,0,1.96,0
