stage,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,mesenchyme,mucous,neural,notochord,spinal.cord
 14-21,0,0,0,0,0,0,0,0,0,1,0
 24-34,0,0.82,0,0.82,0,0,0,0,11.49,0,0.82
 36-46,0,0,0,0,0,0,0,0,15.31,0,0
 48-58,0,0,0,0.57,0,0,0,0.57,29.26,0,0.57
 60-70,0,0,0,0.98,0,0.98,0,0,53,0,0
 72-82,0,0.98,0,3.93,0.98,0.98,0,0,70.68,0,1.96
 84-94,0,1.06,1.06,2.12,0,1.06,0,0,35.05,0,3.19
 96-106,0,0,0,5.46,0,1.09,1.09,0,45.9,0,1.09
108-118,0,0,0,3.06,0,0,0.77,0,61.28,0,0
120,1.96,0,1.96,0,1.96,0,0,0,111.71,0,1.96
