stage,epidermis,erythrocytes,eye,fast_muscle,glial,heart,ionocyte,iridophores,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
 14-21,0,0,0,0,1,0,0,0,0,1,6,0,0,0,0,1,1,16,0
 24-34,0,0.82,0.82,0,0,0,0.82,0,0,0,9.85,0,0,0,0.82,0,0,34.48,0.82
 36-46,0,0,0.81,0,0,0,0,0,0.81,0,44.31,0,0,0,0.81,0,0,77.34,0
 48-58,0,0,3.44,0.57,1.15,0,0,0,0.57,0,55.09,0,0.57,0,0,0,0,41.89,0
 60-70,0,0,23.56,0,0.98,0,0,0,0,0.98,84.41,0,0,0,0,0,0,44.17,0
 72-82,0,0,32.39,0,0.98,0,0,0,1.96,0,100.13,0,0.98,0,0,0,0,19.63,0
 84-94,3.19,1.06,14.87,0,2.12,0,0,1.06,3.19,0,39.3,1.06,0,0,2.12,0,0,13.81,0
 96-106,0,0,13.11,0,1.09,0,0,0,2.19,0,28.41,0,1.09,2.19,0,0,0,10.93,0
108-118,0,0,11.49,0,0,0,0,0,0.77,0,22.98,0,0,0,0.77,0,0,4.6,0.77
120,0,0,17.64,0,0,1.96,0,0,0,0,33.32,0,0,0,0,0,0,3.92,0
