stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0.82,0,9.03,0,0,119.02,0,0.82,0,0,0.82,0,0,0.82,0,0,0.82,0,13.13,0,0,4.1,130.52,0,1.64,0.82,0.82,4.1,1.64,0,13.95,0,3.28,0,0
 36-46,0,0,0,0,7.25,0,0,132.13,0,0,0.81,4.03,0,2.42,0.81,0.81,0.81,0,0,0,20.14,0,1.61,2.42,144.21,1.61,0,0.81,0,5.64,0,0.81,31.42,0,1.61,0,2.42
 48-58,0.57,0,0,0,1.15,0.57,0,121.65,0.57,0,1.15,6.89,0,0,0.57,0,0,0,0,2.3,13.2,0,0,2.87,89.51,1.15,1.15,0,0,0.57,0,0,22.38,0,2.87,0,1.72
 60-70,0,0,0,0,1.96,0,0,140.36,0,1.96,0,8.83,0,0,0.98,0,0,0,0,0,8.83,0,0.98,1.96,63.8,0,1.96,0.98,0,1.96,0,0,9.82,0,1.96,0,0.98
 72-82,0,0,0.98,0,0,1.96,0,110.93,0,0,0,16.69,0.98,1.96,1.96,0,0.98,0.98,0,0,16.69,0,0,0.98,57.92,0,1.96,0,0.98,0,0,0,5.89,0,0,0.98,0
 84-94,0,0,0,0,1.06,1.06,1.06,114.7,0,0,2.12,5.31,2.12,0,0,1.06,1.06,0,0,0,10.62,0,0,2.12,30.8,0,1.06,0,0,2.12,0,0,3.19,2.12,1.06,0,1.06
 96-106,0,0,0,0,2.19,2.19,1.09,78.68,0,1.09,0,3.28,0,0,1.09,0,1.09,0,1.09,0,6.56,0,0,0,22.95,0,0,0,0,3.28,0,0,1.09,0,3.28,0,0
108-118,0,0,0,0,3.83,0,1.53,105.7,0,0.77,1.53,6.13,1.53,0,1.53,0,0.77,1.53,3.06,0,13.79,0.77,1.53,1.53,36.77,0,0.77,0,0.77,5.36,0,0,5.36,0,1.53,1.53,0.77
120,0,0,0,0,3.92,7.84,1.96,90.15,0,1.96,0,5.88,1.96,0,3.92,0,0,1.96,1.96,0,13.72,0,0,0,33.32,0,3.92,1.96,0,7.84,0,0,0,0,1.96,0,0
