stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,42.06,10.51,0,0,862.22,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,1083.03,7.89,0,0,73.6,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,81.82,37.76,0,0,912.62,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,2435.75,22.03,0,0,160.5,0,6.29,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,2,53,6,56,0,2,0,14,4,1,0,0,0,1,0,0,1,29,0,0,17,1220,4,1,3,8,0,1,0,14,0,0,13,302,0,0,0,0,8
 24-34,0,0,0.82,35.3,1.64,82.09,0,7.39,6.57,34.48,1.64,0,1.64,0.82,0,3.28,0.82,0,4.1,70.59,0,0.82,26.27,1193.52,0,2.46,0.82,0,0,3.28,0,0,2.46,0,5.75,303.72,0,0,4.93,0,45.15
 36-46,0,0,0,17.72,0,75.73,2.42,9.67,31.42,56.4,0,0,0,0.81,0,4.83,2.42,0,4.03,101.51,0,1.61,31.42,672.73,1.61,1.61,0,0,0,0,0,0,0.81,0.81,0,223.98,0,0,1.61,0,36.26
 48-58,0,0,0,20.66,0,49.92,2.3,15.49,56.23,75.17,0,0,2.3,0.57,0,9.75,1.15,0,4.02,204.85,0.57,4.59,49.35,284.03,0.57,0.57,2.3,0,0.57,2.3,0.57,0,1.15,0,0,131.4,0,1.15,1.72,0.57,52.22
 60-70,0,0,0,37.3,0,53,0.98,22.58,53.98,83.43,0,0,3.93,6.87,0.98,14.72,0,1.96,0.98,349.42,0,2.94,52.02,233.6,0,0,0,0,0.98,3.93,0,0,3.93,0.98,0,47.11,0,4.91,0,0.98,55.95
 72-82,0,0,0,42.21,0.98,96.2,1.96,8.83,100.13,128.6,0,0,8.83,7.85,3.93,25.52,2.94,0.98,3.93,620.41,0,14.72,79.51,250.32,0,0.98,1.96,0,0.98,3.93,0,0,1.96,0,0,32.39,0.98,15.71,0.98,11.78,68.72
 84-94,1.06,0,0,81.78,2.12,93.46,0,23.36,65.85,71.16,2.12,0,5.31,7.43,1.06,44.61,1.06,1.06,3.19,341.98,0,21.24,44.61,134.88,1.06,0,3.19,0,2.12,3.19,0,0,9.56,0,0,19.12,1.06,9.56,1.06,14.87,70.09
 96-106,0,0,0,98.36,0,65.57,3.28,17.49,64.48,76.5,6.56,0,3.28,20.76,0,45.9,0,1.09,2.19,472.11,1.09,13.11,48.09,138.79,0,0,6.56,0,2.19,2.19,0,0,4.37,0,0,6.56,0,24.04,1.09,9.84,85.24
108-118,0,0,0.77,76.6,0,43.66,2.3,29.87,48.26,65.11,9.96,0,2.3,17.62,2.3,76.6,0.77,1.53,6.13,382.22,0,13.79,46.72,162.38,0,2.3,5.36,0,3.83,2.3,0,0,5.36,0.77,0,7.66,0.77,13.02,2.3,6.13,88.09
120,0,0,0,78.39,1.96,33.32,1.96,29.4,31.36,78.39,19.6,0,1.96,37.24,0,43.12,1.96,0,3.92,317.49,1.96,7.84,31.36,192.06,0,0,5.88,0,1.96,1.96,0,0,7.84,1.96,0,15.68,1.96,13.72,0,7.84,48.99
