stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,1080.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,766.2,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,10.51,0,15.77,0,0,42.06,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,396.94,18.4,0,0,147.21,0,2.63,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,28.32,0,0,25.18,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,349.31,25.18,0,0,160.5,0,3.15,3.15,3.15,25.18,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,10,1,7,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,4,70,1,1,1,0,0,1,0,4,1,11,30,0,0,1,0,0
 24-34,0,0,0.82,0,6.57,0,15.6,0,0,0,1.64,0.82,0,0,0,1.64,0,0,0.82,0,13.13,0,0,9.85,157.6,0.82,4.1,0.82,0,0,7.39,0,0,0,3.28,37.76,0,0,3.28,0,0
 36-46,0,0,0,0,1.61,0,32.23,0.81,0.81,0,3.22,0.81,0,0,0.81,0,0,0,0.81,0.81,17.72,0,0,1.61,205.45,2.42,0.81,0,0,0,4.03,0,0,0.81,0,27.39,0,0,2.42,0,0
 48-58,0,0,0,0,2.3,0,72.87,0,0,2.87,10.33,0,0,1.72,0.57,0.57,0,0.57,0,0,36.72,0,0.57,8.03,232.39,1.15,2.87,1.72,0,0,1.72,0,0,0,0,58.53,0,0.57,2.87,0,0.57
 60-70,0,0,0,0,3.93,0,96.19,0.98,0.98,0,11.78,0,0,0.98,0,0,1.96,0,0,0,20.61,0,0,4.91,249.31,0.98,1.96,0.98,0,0,2.94,0,0,0.98,0,29.45,0,0.98,2.94,1.96,0
 72-82,0,0,0,0,4.91,1.96,92.28,0.98,0.98,4.91,18.65,0,0,0.98,2.94,0,0,0.98,0,0,47.12,0.98,0.98,4.91,249.34,0,0.98,0.98,0,0.98,1.96,0,0,0,0,16.69,2.94,1.96,1.96,0.98,0.98
 84-94,0,0,1.06,0,13.81,0,53.1,0,1.06,0,10.62,2.12,0,0,4.25,1.06,2.12,0,1.06,0,30.8,1.06,0,5.31,110.45,0,2.12,5.31,0,0,6.37,0,0,1.06,0,14.87,0,3.19,4.25,2.12,0
 96-106,0,0,2.19,0,4.37,1.09,46.99,0,1.09,1.09,12.02,2.19,0,0,2.19,1.09,1.09,0,2.19,0,21.86,2.19,2.19,2.19,87.43,0,2.19,0,0,0,9.84,0,0,0,0,4.37,1.09,0,2.19,2.19,0
108-118,0,0,0.77,0.77,6.89,1.53,32.94,0,3.06,2.3,9.19,3.06,0,0.77,2.3,0.77,0,0.77,0,0,15.32,0,0,3.83,90.38,1.53,1.53,1.53,0,0,3.06,0,0,0.77,0,1.53,0,0,2.3,0.77,0.77
120,0,0,0,0,13.72,1.96,35.28,0,0,0,7.84,0,0,1.96,5.88,0,0,0,0,0,23.52,0,0,0,107.79,0,3.92,1.96,0,0,3.92,0,0,0,0,1.96,0,0,0,0,0
