stage,blastomeres,epidermis,eye,glial,hatching_gland,heart,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,2,0,0,0,0,0,0,14,0,0,0,0,0,2,1,2,2,0
 24-34,0.82,0,7.39,0,0,0,0,1.64,0,56.64,0,0,0,0,0,0,0,0.82,7.39,0.82
 36-46,0,0,24.98,4.83,0,0,0,0,1.61,78.96,0,0.81,0.81,0,0,0,0,0,12.89,1.61
 48-58,0,0.57,28.69,13.77,0,0,0,0.57,0,67.14,0.57,0.57,1.15,0,0.57,0,0,0,14.35,1.15
 60-70,0,0,41.22,17.67,0,0,0,4.91,0,53.98,0,0,0,0.98,0,0,0,0,11.78,1.96
 72-82,0,0,49.08,20.61,0,0,0,0.98,0,39.27,0,0.98,0,0,0,0,0,0,7.85,2.94
 84-94,0,2.12,23.36,13.81,0,0,0,1.06,0,26.55,0,0,1.06,0,0,0,0,0,4.25,4.25
 96-106,0,0,20.76,12.02,0,1.09,0,0,0,24.04,0,0,1.09,0,0,0,0,0,1.09,2.19
108-118,0,0,10.72,15.32,0,0.77,0.77,1.53,0,32.17,0,0,0.77,0,0.77,0,0,0,1.53,0.77
120,0,0,15.68,13.72,0,0,0,1.96,0,19.6,0,0,0,0,0,0,0,0,0,1.96
