stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,922.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,36.78,858.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,0,12.26,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,7.89,0,0,21.03,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,215.55,10.51,0,0,92,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,9.44,0,0,28.32,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,107,0,0,0,31.47,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,4,3,3,0,0,5,0,0,0,0,0,0,0,2,0,0,1,66,0,0,0,0,1,5,0,4,17,0,0,0,1
 24-34,0,0,0,4.1,0,12.31,0,0.82,2.46,0,0,0,0,0,0,0.82,8.21,0,0,0.82,91.94,0,0,0,0,0.82,0,0,2.46,15.6,0,2.46,0,0
 36-46,0,0,0,0.81,0,19.34,0,0,0.81,0,0,0.81,0,0,0.81,0,9.67,0,0,1.61,66.06,0,0,0.81,0,0,0,0,0,9.67,0,1.61,0,0
 48-58,0,0,0.57,0,0,16.64,0.57,0.57,3.44,0,0,0.57,0,0,0,0.57,5.74,0,0,0.57,22.95,0,0,0,0,0,0,0,0,5.16,0,0.57,0,0.57
 60-70,0,0,0,0,0,11.78,0,0,1.96,0,0,0,0,0,0,0,8.83,0,0,3.93,15.7,0,0,0,0,3.93,0,0,0,1.96,0,0,0,0
 72-82,0,0,0,0,0,8.83,0,0.98,4.91,0,0,0,0.98,0,0,0.98,12.76,0,0,4.91,21.6,0,0,0.98,0,0,0,0,0,1.96,0.98,0,0,0.98
 84-94,0,0,0,0,0,3.19,0,0,1.06,0,0,0,1.06,0,1.06,1.06,8.5,0,0,3.19,11.68,0,1.06,1.06,0,2.12,0,1.06,0,1.06,0,1.06,0,0
 96-106,0,0,0,1.09,0,3.28,0,0,1.09,0,0,0,0,0,0,0,3.28,0,1.09,1.09,8.74,0,0,0,0,1.09,0,0,0,0,2.19,0,1.09,0
108-118,0,0,0,2.3,0,0,0,0.77,1.53,0.77,0,0,0,0,0,0,3.06,0.77,0,1.53,7.66,0,0,0,0,0.77,0,0,0,0.77,0,0.77,0,0
120,0,0,0,0,0,3.92,0,0,0,1.96,0,0,0,1.96,0,0,0,0,0,0,19.6,0,0,0,0,0,0,0,0,0,0,0,0,0
