stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,4,15,200,11,0,11,0,3,0,11,18,2,1,0,2,0,1,0,0,45,1,0,41,421,20,7,6,33,0,89,16,14,0,10,356,0,0,6,0,0
 24-34,0,5.75,4.93,158.43,6.57,0,40.22,0,4.1,3.28,30.37,13.13,0,9.03,3.28,5.75,0,5.75,0.82,0.82,220.81,2.46,3.28,104.25,1122.11,30.37,38.58,13.13,0,0,123.95,0,4.1,0,9.85,540.94,0,0,49.25,0,0
 36-46,0,1.61,0,68.48,2.42,0,45.92,0,3.22,9.67,47.53,6.45,0.81,12.09,4.03,1.61,0,4.83,0.81,4.03,273.93,3.22,13.7,78.96,1590.39,24.98,42.7,9.67,0,1.61,93.46,0,3.22,0,0,518.05,0,0.81,42.7,0,1.61
 48-58,0,1.15,0.57,50.49,1.15,0,132.55,0.57,1.72,10.33,64.27,0.57,5.16,18.94,7.46,1.15,0,10.33,0.57,4.02,256.49,6.31,26.4,59.68,1765.02,19.51,35.58,8.03,0.57,1.15,65.41,0,4.02,0,0,408.55,0,1.15,51.07,0,1.15
 60-70,0,1.96,0,27.48,0,0,262.07,1.96,0.98,5.89,93.24,3.93,0.98,13.74,21.59,0.98,0,7.85,0.98,3.93,351.38,2.94,39.26,43.19,2318.35,21.59,27.48,5.89,0,7.85,52.02,0,0.98,0,0,357.27,1.96,14.72,53,8.83,0.98
 72-82,0,11.78,0,40.25,0.98,0,306.28,1.96,2.94,15.71,128.6,27.49,1.96,24.54,31.41,3.93,0.98,9.82,0,1.96,434.88,6.87,31.41,34.36,2199.9,12.76,30.43,13.74,0,9.82,54.97,0,1.96,0.98,0,214,6.87,11.78,105.04,30.43,0.98
 84-94,0,8.5,1.06,57.35,1.06,0,229.4,2.12,11.68,16.99,88.15,20.18,1.06,10.62,25.49,4.25,3.19,10.62,3.19,8.5,283.56,8.5,20.18,23.36,1089.65,14.87,27.61,16.99,0,3.19,117.89,0,7.43,1.06,0,110.45,7.43,15.93,87.09,31.86,2.12
 96-106,0,8.74,0,69.94,9.84,2.19,191.25,1.09,9.84,16.39,84.15,33.88,1.09,22.95,42.62,4.37,5.46,12.02,1.09,3.28,289.6,7.65,22.95,27.32,933.29,6.56,43.71,15.3,0,9.84,132.23,0,10.93,0,0,72.13,19.67,12.02,113.66,44.81,3.28
108-118,0.77,5.36,0,57.45,5.36,1.53,130.98,0,9.19,11.49,75.83,25.28,0.77,6.89,33.7,7.66,9.19,13.02,2.3,12.26,296.43,6.89,18.38,26.81,994.99,12.26,25.28,15.32,0,10.72,60.51,0,9.19,0.77,0,46.72,31.4,11.49,70.47,22.21,0.77
120,0,5.88,0,74.47,1.96,0,168.54,0,11.76,21.56,82.31,29.4,0,7.84,43.12,5.88,3.92,3.92,1.96,3.92,286.13,13.72,19.6,27.44,1181.75,13.72,15.68,7.84,0,0,113.67,0,3.92,0,0,82.31,11.76,9.8,82.31,19.6,1.96
