stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,iridophores,liver,mesenchyme,muscle,neural,notochord,periderm,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,2.63,0,0,0,0,0,0,0,0,10.51,2.63,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,2,0,1,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0.82,1.64,0,4.93,0,0.82,1.64,0,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,0,0,0.81,8.86,0.81,1.61,0.81,0,0,0
 48-58,0,0,0,0,1.72,0,0,0,0,0.57,0,1.72,0.57,10.33,0,1.15,0.57,0,0,0
 60-70,0,0,0,0,2.94,0,0,0,0,0,0,0.98,0,8.83,0,0,0,0,0,0
 72-82,0,0,0,0,2.94,0,1.96,0,0,0,0,2.94,0,5.89,0,0,0,0,0.98,0.98
 84-94,0,0,0,0,2.12,0,0,1.06,0,0,0,1.06,0,1.06,0,1.06,1.06,0,0,0
 96-106,0,0,0,0,2.19,0,0,0,0,0,0,3.28,0,2.19,0,1.09,0,0,0,0
108-118,0,0,0.77,0,0,0.77,0,0,0.77,0,0,0.77,0.77,3.83,0.77,1.53,0,0.77,0,0.77
120,0,0,1.96,1.96,1.96,0,0,1.96,1.96,0,0,1.96,0,1.96,1.96,5.88,0,0,0,0
