stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,1,2,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,14,0,0,0,0,1,0,0,6,0,0,0,0,0
 24-34,0,0.82,0,0,0,1.64,0,0,0,0,0,0,0,0,2.46,3.28,0,0,2.46,97.68,0,3.28,0,0,0.82,0,0,29.55,0,0,0,0,0
 36-46,0,0,0,0,0,5.64,0,0,7.25,0,0,0,0,0,4.83,6.45,0,0,2.42,275.54,0,7.25,0,0,0.81,0.81,0,74.12,0,0,0,0,0.81
 48-58,0,0,0,0,0,28.12,0.57,0,32.13,0,0,1.15,0.57,0,9.75,19.51,0,0,1.72,352.32,0,1.15,0,0,1.15,0,0,76.89,0,0,0,0,6.89
 60-70,0,0.98,1.96,0,0,115.82,0.98,0.98,77.54,0,0,0,0,0,5.89,16.69,0,1.96,0.98,644.86,0,2.94,0.98,0,1.96,0,0,73.61,0,0,0.98,0,2.94
 72-82,0,0,0.98,1.96,0,140.38,0,0,110.93,0,0.98,2.94,0,1.96,7.85,28.47,0,0.98,3.93,542.86,0.98,5.89,0.98,0,0.98,0,0,53.99,3.93,0.98,1.96,0.98,4.91
 84-94,0,1.06,2.12,0,0,96.65,0,0,59.47,1.06,1.06,2.12,1.06,0,9.56,16.99,1.06,2.12,1.06,300.56,0,3.19,2.12,0,4.25,0,0,20.18,0,1.06,0,0,3.19
 96-106,0,0,3.28,2.19,0,101.63,2.19,4.37,68.85,2.19,2.19,5.46,2.19,1.09,5.46,16.39,0,1.09,0,285.23,0,4.37,1.09,0,5.46,0,0,9.84,0,0,2.19,1.09,0
108-118,0,0,1.53,1.53,1.53,84.26,0.77,0,67.4,1.53,1.53,6.13,0.77,0,9.96,13.02,0,0,2.3,317.11,0.77,3.83,0.77,0,1.53,0,0,10.72,0,0.77,1.53,0.77,4.6
120,0,0,5.88,0,0,54.87,0,1.96,62.71,1.96,1.96,1.96,0,0,7.84,13.72,0,0,3.92,378.24,0,3.92,0,0,1.96,0,0,13.72,0,0,1.96,0,0
