stage,axial,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,2,1,0,0,2,0,0,0,1,0,0,0,0,0,16,0,0,13,34,0,0,0,0,0,0,0,0,32,0,0,0,0,0
 24-34,0,0,4.1,0,10.67,0,0.82,13.13,0,0,0,0,0,1.64,0.82,0.82,5.75,54.18,0,0,27.91,172.38,0,0,0,0,0,4.93,0,0.82,77.16,0,0,0,0,0
 36-46,0.81,0.81,0,0,2.42,0,1.61,10.47,0,0,0,0,0,1.61,0,0,0.81,29.81,0,0,15.31,109.57,0.81,0.81,0,0,0.81,0.81,0,0,58.01,0,0,0,0,0
 48-58,0,0.57,0,0.57,4.02,0,1.15,6.89,0,0,0,0,0,0,0,0,0,42.46,0.57,0,27.54,59.68,0,0,0,0,0.57,0,0,0,43.61,0,0,0,0,0
 60-70,0,0,2.94,0,80.48,0.98,0,8.83,0,1.96,0,0,0,0,0,0,0,48.09,0,0,14.72,47.11,0,0,0.98,0,0.98,0,0,0,69.69,0,0,0,0,0
 72-82,0,0,7.85,0,263.09,0,0.98,19.63,0,1.96,0,0.98,0,0,0,0.98,0,79.51,0.98,0.98,15.71,53.01,0,0,0.98,0,0,0,0.98,0,50.06,0,0.98,0,0.98,0.98
 84-94,0,0,6.37,0,149.75,0,0,27.61,0,1.06,1.06,0,0,0,1.06,0,0,59.47,0,0,5.31,55.23,0,0,1.06,0,0,0,0,0,27.61,0,0,0,1.06,0
 96-106,0,1.09,4.37,0,194.53,1.09,0,16.39,1.09,0,0,1.09,1.09,0,0,1.09,0,64.48,0,0,7.65,62.29,0,0,0,0,3.28,0,0,0,13.11,1.09,0,0,0,0
108-118,0,0,2.3,0.77,108,0,0,6.89,0,0,0,0,0,0,0.77,0,0,55.15,0,2.3,3.83,49.02,0,0,0,0,2.3,0,0,0,11.49,0.77,0,0.77,0.77,0
120,0,0,9.8,1.96,56.83,0,0,11.76,0,0,0,0,0,0,0,0,0,37.24,1.96,1.96,9.8,35.28,0,0,1.96,0,1.96,0,0,0,5.88,0,0,0,0,1.96
