stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vasculature
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,42.91,79.69,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,18.4,0,0,13.14,0,0,0,0,0,0,0,0,417.97,0,0,0,0,0,0,0,0,0,42.06,5.26,0,0,13.14,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,273.79,0,0,0,0,0,0,0,0,0,6.29,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,7,0,3,0,0,0,0,0,1,0,48,0,7,0,0,0,0,2,0,0,12,0,0,0,0,0,2,1,0,12,0,0
 24-34,0,0,11.49,1.64,2.46,0.82,0,0.82,0,0,0,0,15.6,0,18.06,0,0,0.82,1.64,29.55,0,0,18.88,0,0,0,0,0,0.82,0,4.1,5.75,0,0.82
 36-46,0,0,2.42,0,0.81,0,0,0,0,0,0,0,5.64,0,4.83,0,0,0,0,14.5,0,0,14.5,0,0,0,0,0,0,0,1.61,0,0,1.61
 48-58,0,0,1.15,0,1.15,0,0,6.31,0,0,0,0,4.02,0,3.44,0,0,0,2.3,17.79,0,1.15,12.62,0,0,0,0,0,0.57,0,2.87,0.57,0,0
 60-70,0,0,0.98,0,0.98,0,1.96,0.98,0,0,0,3.93,1.96,0,0,0,0,0,0.98,11.78,0,0.98,8.83,0,0,0,0,0,0,0,2.94,0.98,0,0
 72-82,0,0,4.91,0,1.96,0.98,51.05,4.91,0.98,0,0,8.83,2.94,0,0.98,0,0.98,0,2.94,26.5,0,0,20.61,0,0,0,0,0,0,0,2.94,0,0,0.98
 84-94,0,0,2.12,0,5.31,1.06,80.71,4.25,1.06,0,0,15.93,8.5,0,0,0,1.06,1.06,0,31.86,0,0,25.49,0,0,0,0,0,1.06,0,0,1.06,0,0
 96-106,0,0,4.37,0,3.28,2.19,170.48,7.65,1.09,1.09,2.19,13.11,2.19,1.09,3.28,1.09,1.09,0,2.19,31.69,0,1.09,17.49,1.09,1.09,0,0,1.09,0,1.09,3.28,0,1.09,0
108-118,0,0,2.3,0,3.83,1.53,270.38,3.83,0,0,3.06,24.51,0,0,3.06,0.77,3.06,0,3.83,24.51,0.77,0,15.32,0,0,0.77,0,0,3.83,0,0.77,0.77,0,0.77
120,0,0,1.96,0,9.8,3.92,86.23,5.88,1.96,0,1.96,15.68,0,0,0,0,0,0,0,7.84,0,0,9.8,0,0,1.96,0,0,0,0,1.96,0,0,0
