stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,7.89,0,0,5.26,2.63,0,0,0,0,0,0
 10-12,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,10,5,3,0,0,0,0,0,0,3,0,0,1,8,1,0,1,0,3,1,0,2,0,1,0
 24-34,0,0,0.82,0,1.64,0,0,0,0,0,0,3.28,0,0,0,1.64,0,0,1.64,0,4.1,0,0.82,1.64,0,4.1,0
 36-46,0,0,1.61,0,0.81,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22,0,0,1.61,0,1.61,0
 48-58,0,0,0.57,0,0,0.57,0,0.57,0,0,0,0.57,0.57,0,0,2.3,0,0,0,0,0.57,0,0,0,0,1.15,0
 60-70,0,0,2.94,0,0,0,0,0.98,0.98,0,0,0,0,0,0.98,0.98,0,0,0,0,1.96,0,0,0,0,1.96,0
 72-82,0,0,0,0,0,0,0,0.98,0.98,0,0,1.96,0.98,0,0,1.96,0,0,0,0,0.98,0,0,0,0,2.94,0
 84-94,0,0,2.12,0,0,0,0,2.12,4.25,0,1.06,2.12,0,0,0,1.06,0,0,0,0,5.31,0,0,0,1.06,4.25,0
 96-106,0,0,6.56,0,0,3.28,0,3.28,1.09,0,0,2.19,0,1.09,0,1.09,0,0,0,0,8.74,0,0,0,2.19,2.19,1.09
108-118,0,0,7.66,0,0,1.53,0.77,3.06,1.53,0,0,0.77,0,0,0.77,3.06,0,0,0,0,8.43,0,0,0,0,4.6,0
120,0,0,3.92,1.96,0,3.92,0,0,0,1.96,0,3.92,1.96,0,0,1.96,0,1.96,1.96,0,5.88,0,0,0,1.96,3.92,0
