stage,endocrine.pancreas,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,melanocytes,mesenchyme,mucous,muscle,neural,otic,pericytes,periderm,slow.muscle,spinal.cord,taste,vasculature
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,0,0,5.75,0,0,0.82,0.82,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0.81,0,0,8.86,0,0,0,0,3.22,0,0
 48-58,0,0,0,1.15,0.57,0,1.15,0,1.15,0,2.3,0,0,8.61,0,0,0,0,0.57,0,0.57
 60-70,0,0,0,3.93,0.98,0,1.96,0,0,0,1.96,0,0.98,18.65,0.98,0,0,0,0,0,0
 72-82,0.98,0,0,19.63,0,1.96,1.96,0,0.98,0,6.87,0,0,29.45,0.98,0,0,0,0.98,0,0.98
 84-94,0,0,0,3.19,0,0,1.06,0,5.31,2.12,2.12,0,1.06,13.81,1.06,0,2.12,0,0,0,0
 96-106,0,0,0,15.3,0,0,1.09,0,3.28,0,8.74,0,0,20.76,1.09,1.09,0,0,0,0,1.09
108-118,0,0,0.77,6.13,0,0,0.77,0,3.83,0,4.6,0.77,0,10.72,0.77,0,0,0,0,0,0
120,0,0,0,5.88,0,0,0,0,5.88,0,1.96,0,0,17.64,0,0,0,0,0,1.96,0
