stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0
 24-34,0.82,0,0,1.64,0,0,0,0,0,0,0,0,1.64,0,0,0,8.21,0,0,0,0,0.82,1.64,0,0,0,0
 36-46,0,0.81,0,0.81,2.42,0,0.81,0,0.81,0,0,0,0.81,0,0,0,1.61,0,0,0,0,0,0.81,0,0.81,0,0
 48-58,0,0,0,0.57,4.02,0,1.15,0,0,0,0,0,0,0.57,0,1.15,3.44,0,0,0.57,1.15,0,1.15,0,0.57,0,0
 60-70,0,1.96,0,5.89,5.89,0,1.96,0,0,0,0,0,3.93,0,0,0.98,1.96,0,0,0,0.98,0,1.96,0,0,0,0
 72-82,0,0.98,0,6.87,6.87,0,1.96,0,0,0,0,0.98,3.93,0,5.89,0,7.85,0.98,0,0,0.98,0,0,0,0.98,0,0
 84-94,0,1.06,0,5.31,2.12,0,2.12,0,0,0,1.06,0,8.5,0,1.06,1.06,4.25,0,1.06,1.06,3.19,0,0,0,0,0,0
 96-106,0,2.19,1.09,7.65,9.84,1.09,3.28,0,0,1.09,0,0,2.19,0,4.37,4.37,7.65,0,0,1.09,1.09,0,0,0,0,0,1.09
108-118,0,0.77,0,5.36,15.32,0.77,0.77,5.36,0,0.77,0,0,1.53,0,5.36,3.83,5.36,0,0.77,1.53,2.3,0,0,0,0,0.77,0
120,0,1.96,0,1.96,5.88,1.96,0,1.96,0,0,0,0,1.96,0,0,0,1.96,0,0,0,1.96,0,0,1.96,0,0,0
